Name,Team,Age,Position,Apps,Minutes,Total Goals,Total Assists,Yellow cards,Red cards,Shots per game,Pass success percentage,Aerials won per game,Man of the match,Rating
Luiz Araujo,Lille,23,AM(LR),24(10),2025,5,3,5,-,1.5,76.1,0.1,1,6.71
Chidozie Awaziem,Nantes,22,D(C),16(6),1510,1,1,2,1,0.6,76.5,1.4,1,6.70
Ciprian Tatarusanu,Nantes,33,GK,37,3330,-,-,-,-,-,56.5,0.4,-,6.70
Gerzino Nyamsi,Rennes,22,D(C),3,270,-,-,-,-,0.3,81,4.3,-,6.69
Samuel Grandsir,Troyes,22,AM(LR),29(7),2608,3,4,3,-,1.3,75.2,0.4,-,6.69
Issiaga Sylla,Toulouse,25,"D(LR),M(L)",17(8),1597,1,3,5,-,0.6,75.4,1.9,-,6.69
Bongani Zungu,Amiens,26,DMC,24(2),2089,1,-,5,-,0.3,83,1.2,-,6.69
Yohann Pelé,Marseille,36,GK,7(3),735,-,-,1,-,-,72.7,0.6,-,6.69
Vincent Manceau,Angers,29,D(LR),33,2970,-,-,-,-,0.5,76.7,0.9,-,6.69
Andrei Girotto,Nantes,27,DMC,18(7),1522,1,1,8,-,1.2,76.4,1.7,1,6.69
Adrien Thomasson,Nantes,25,M(CLR),29(7),2587,5,3,4,-,1.6,77.4,0.4,1,6.69
Nicolas de Preville,Lille,28,"AM(CLR),FW",3(1),287,2,-,-,-,2.5,69.7,1,-,6.69
Pablo Martinez,Strasbourg,30,D(CL),24,2116,-,1,4,-,0.6,82,2.3,1,6.68
Rene Krhin,Nantes,29,DMC,16(2),1314,1,-,5,-,0.6,83.6,2.4,-,6.68
Mouctar Diakhaby,Lyon,22,D(C),8(4),725,1,-,2,-,0.3,88.3,1.8,-,6.68
François Moubandje,Toulouse,29,D(CL),20(1),1703,-,-,5,1,0.1,71.5,2.1,1,6.68
Karl-Johan Johnsson,Guingamp,29,GK,38,3420,-,-,-,-,-,58.6,0.4,1,6.68
Jérémy Sorbon,Guingamp,35,D(C),29,2610,-,-,1,-,0.1,86.3,1.3,-,6.68
Mateo Pavlovic,Angers,29,D(C),22(2),1967,2,-,9,-,0.8,83.9,2.8,-,6.68
