Name,Team,Age,Position,Apps,Minutes,Total Assists,Key passes per game,Passes per game,Pass success percentage,Crosses per game,Long balls per game,Through balls per game,Rating
Julien Féret,Caen,36,M(C),33(4),2923,5,1.7,38.6,76.8,0.6,2.7,0.2,7.01
Jérémy Clément,Saint-Etienne,34,M(C),28(1),2483,1,0.5,53.7,87.1,-,2.6,-,7.00
Jérémy Pied,Nice,30,"D(LR),M(CLR)",2,157,1,3.5,26.5,83,1,1,-,7.00
Julian Palmieri,SC Bastia,32,"D(L),M(L)",34(1),2950,1,0.4,33.3,73.3,0.6,2.2,-,7.00
Geoffrey Jourdren,Montpellier,33,GK,29,2610,-,-,27.4,32.4,-,7.3,-,6.99
Elderson Echiéjilé,Monaco,31,D(L),10(2),889,-,0.7,33.2,79.6,0.5,1.3,-,6.99
Gregory van der Wiel,Paris Saint-Germain,31,"D(CR),M(R)",22(3),1999,3,0.7,44.1,89.4,0.8,1.7,-,6.99
Aymen Abdennour,Monaco,29,D(C),17(1),1529,-,0.2,41.7,84.5,0.1,2.4,-,6.99
Wahbi Khazri,Bordeaux,28,"M(CLR),FW",29(3),2385,5,1.5,28.3,78.1,1.6,1.6,0.1,6.99
Issa Cissokho,Nantes,34,"D(LR),M(R)",32(1),2888,-,0.7,37.8,78.6,0.6,2.5,-,6.99
Cédric Yambéré,Bordeaux,28,"D(C),DMC",15(1),1185,-,0.1,31.3,79.2,-,2.1,-,6.99
Marquinhos,Paris Saint-Germain,25,"D(CR),DMC",21(4),1872,-,0.1,51.7,92.3,-,2.8,-,6.99
Dorian Lévêque,Guingamp,29,D(LR),17(1),1445,-,0.4,24.1,70,0.4,1.4,-,6.98
Milan Bisevac,Lyon,35,D(C),13,1082,1,0.1,47,88.9,-,3.2,-,6.98
Pierrick Valdivia,Lens,31,M(C),32(3),2872,1,1.3,45.5,77.5,1.3,3.2,-,6.97
Jean-Daniel Akpa Akpro,Toulouse,26,"D(R),M(CLR)",25(7),2411,3,0.7,27.2,72.2,0.4,0.7,0.1,6.97
Emmanuel Imorou,Caen,30,D(L),30,2644,1,0.8,31.9,69.4,1,1.5,-,6.97
Cheick Diabaté,Bordeaux,31,FW,13(2),1080,2,0.7,18.2,72.9,-,0.6,-,6.96
José Luis Palomino,Metz,29,D(C),21(3),1926,1,-,30.9,73.8,-,3,-,6.96
Guirane N'Daw,Metz,35,M(C),25(2),2259,-,0.8,41.1,60.9,0.1,4.3,-,6.96
Thiago Motta,Paris Saint-Germain,36,M(C),25(2),2059,2,0.8,84.3,93,0.5,3.9,0.1,6.96
Fabien Lemoine,Saint-Etienne,32,M(C),31(4),2815,4,0.9,52,85.1,0.3,4.1,0.2,6.95
Florian Thauvin,Marseille,26,"AM(CLR),FW",32(4),2526,4,1.5,23.4,76.7,1,1.1,0.1,6.95
Gelson Fernandes,Rennes,32,DMC,32(1),2795,-,0.3,42.3,88.2,-,1.3,-,6.95
Lucas Digne,Paris Saint-Germain,25,D(L),14(1),1270,1,0.5,49.1,88.2,0.8,0.7,-,6.94
Tongo Doumbia,Toulouse,29,M(C),22(2),2013,1,0.3,40.6,82.9,0.2,1.5,-,6.94
Jonathan Mensah,Evian Thonon Gaillard,28,D(CR),10(1),916,-,-,31.5,74.3,0.1,2.8,-,6.94
Mouhamadou Dabo,Lyon,32,D(LR),13,1025,-,0.7,43,82.8,0.5,1.4,-,6.94
Siaka Tiéné,Montpellier,37,"D(L),M(L)",15(2),1313,1,0.6,31.6,76.4,0.4,2.2,-,6.94
Blaise Matuidi,Paris Saint-Germain,32,M(CL),25(9),2191,2,0.6,42.2,91.7,0.2,1.1,-,6.94
Emiliano Sala,Caen,28,FW,7(6),776,1,0.5,14.5,64.4,0.4,0.1,-,6.94
Yannick Cahuzac,SC Bastia,34,DMC,21,1751,2,0.5,35.3,78.3,0.1,2,-,6.93
Daniel Wass,Evian Thonon Gaillard,30,"D(LR),M(CLR)",28(4),2471,5,1.2,30.9,68.4,0.9,1.5,-,6.93
Dragos Grigore,Toulouse,32,"D(C),DMC",25(2),2209,-,0.2,39,74.5,0.1,3.7,-,6.93
Aristote Ndongala,Nantes,25,Midfielder,0(1),45,-,-,20,85,1,1,-,6.93
