Name,Team,Age,Position,Apps,Minutes,Total Goals,Total Assists,Yellow cards,Red cards,Shots per game,Pass success percentage,Aerials won per game,Man of the match,Rating
Marco Motta,Roma,33,"D(R),M(R)",13(3),1103,-,1,2,-,0.9,75.1,0.6,-,7.04
Simon Kjaer,Palermo,30,D(C),35,3131,2,-,10,1,0.5,79.2,1.5,1,7.03
Diego López,Cagliari,44,D(L),18,1515,1,-,4,-,0.4,84.6,0.9,-,7.03
Gaby Mudingayi,Bologna,37,M(C),21(7),2060,1,-,9,-,0.9,81.7,0.4,3,7.03
Adailton,Bologna,42,"AM(C),FW",24(7),1986,11,3,1,-,2.4,75.5,0.4,3,7.02
Simone Vergassola,Robur Siena,43,DMC,34,3015,5,3,8,-,0.8,82,0.7,-,7.02
Dario Knezevic,Livorno,37,D(C),25(2),2260,-,-,4,-,0.1,83.5,1.9,1,7.02
Giacomo Tedesco,Bologna,43,M(C),5(3),479,-,2,2,-,0.8,75,0.1,-,7.02
Vangelis Moras,Bologna,37,D(C),17(3),1525,-,-,1,-,0.2,78.5,1.5,2,7.02
Emiliano Viviano,Bologna,33,GK,34,3060,-,-,1,-,-,46.1,-,1,7.01
Antonio Floro Flores,Udinese,36,"AM(L),FW",25(7),2145,9,2,6,-,2.6,72.8,1.9,1,7.01
Massimo Donati,Bari,38,"D(C),DMC",26(6),2420,1,3,3,-,0.5,82.1,0.9,1,7.01
Mohamed Sissoko,Juventus,34,M(C),14(3),1207,-,1,8,1,1,83.5,1.1,1,7.01
Philippe Mexes,Roma,37,D(C),16(3),1400,1,-,4,-,1,81.7,2.1,-,7.01
Simone Del Nero,Lazio,37,AM(C),6(1),514,-,-,3,-,0.7,82.8,0.4,-,7.01
Francesco Valiani,Parma,38,M(C),14,1225,-,2,4,1,1.1,71.9,0.7,-,7.01
Jeda,Cagliari,40,"AM(C),FW",21(11),1888,8,4,3,-,0.8,77.4,2.1,1,7.00
Kwadwo Asamoah,Udinese,30,"D(L),M(CL)",24(1),2140,1,1,2,-,1.4,84,0.5,2,7.00
Marco Biagianti,Catania,35,M(C),35(1),2960,3,2,8,-,0.6,79.6,0.7,-,7.00
Leonardo Migliónico,Livorno,39,"D(C),M(L)",12(1),972,1,-,3,-,0.2,82,0.6,2,7.00
Simone Pepe,Udinese,35,M(C),25(7),2208,7,4,5,-,2.1,75.9,0.3,-,7.00
Federico Balzaretti,Palermo,37,D(L),34,2922,1,5,5,-,0.4,80.6,0.5,1,6.99
Rodrigo Palacio,Genoa,37,"AM(CLR),FW",23(8),1911,7,7,4,-,1,74.2,0.3,2,6.99
Ignazio Abate,AC Milan,32,"D(R),M(R)",22(8),2028,-,1,2,1,0.3,84.3,0.5,1,6.99
David Beckham,AC Milan,44,"M(C),FW",7(4),667,-,1,2,-,1,83.9,0.2,-,6.99
Edgar Alvarez,Bari,39,"D(C),M(R),FW",37,3090,3,2,1,-,1.6,80.1,0.1,1,6.99
Alberto Gilardino,Fiorentina,36,FW,32(4),2944,15,1,1,-,2.4,71.6,1.5,4,6.99
Gennaro Sardo,Chievo,40,"D(R),M(R)",19(3),1670,3,1,5,-,0.6,61.1,1.2,2,6.98
Michele Canini,Cagliari,34,D(C),30,2659,-,1,8,1,0.3,76.8,0.8,-,6.98
Alessandro Matri,Cagliari,34,FW,30(8),2596,13,6,3,-,1.9,63.1,1.3,-,6.98
Andrea Masiello,Bari,33,D(CR),37,3330,2,-,4,-,0.1,87.6,0.3,1,6.98
Ciro Capuano,Catania,37,D(L),29(1),2451,-,4,4,2,0.4,73.4,0.8,2,6.98
Matuzalém,Lazio,39,M(C),14(4),1169,1,-,4,-,1.2,87.1,0.3,-,6.98
Matías Silvestre,Catania,34,D(C),35,3145,1,-,8,-,0.5,70.3,1.8,1,6.98
Claudio Terzi,Robur Siena,35,D(C),17(2),1551,1,-,4,-,0.3,75.7,1.6,-,6.98
Thiago Motta,Inter,36,M(C),18(8),1450,4,2,7,-,1.3,86.3,0.8,1,6.98
Blerim Dzemaili,Parma,33,M(C),17(2),1368,-,3,4,-,1.6,74.2,0.8,2,6.97
Cristian Chivu,Inter,38,D(C),16(4),1385,1,1,8,-,0.6,83.8,0.6,-,6.97
Ferreira Pinto,Atalanta,39,"D(C),M(R)",21(2),1527,3,1,2,-,1.5,79.1,0.9,2,6.97
Andrea Esposito,Genoa,33,"D(CR),DMC,M(L)",2(3),252,-,-,-,-,-,87.4,1.2,-,6.97
Simone Perrotta,Roma,41,"D(C),M(CR),FW",31(1),2705,5,3,9,-,1.1,84.9,0.4,-,6.97
Leonardo Bonucci,Bari,32,D(C),38,3420,1,3,3,-,0.4,83.5,0.6,1,6.97
Alessandro Lucarelli,Parma,41,D(C),33,2944,2,-,10,-,0.5,70,0.9,1,6.96
Alessandro Grandoni,Livorno,41,Defender,1,90,-,-,-,-,1,82.9,1,-,6.96
Alberto Zapater,Genoa,34,"D(C),DMC",19(9),1929,3,2,3,-,0.9,79.9,0.4,1,6.95
Vincenzo Iaquinta,Juventus,39,"AM(C),FW",12(3),1093,6,3,2,-,2.7,79.4,1.2,-,6.95
Alessandro Gazzi,Bari,36,M(C),25(7),2387,-,-,4,-,0.2,85.9,1.8,-,6.95
Ezequiel Carboni,Catania,40,"D(C),DMC",26(2),2267,-,-,6,-,0.9,83.3,0.4,1,6.95
Marco Storari,AC Milan,42,GK,7,630,-,-,-,-,-,66.9,-,-,6.94
Christian Abbiati,AC Milan,41,GK,8(1),723,-,-,-,-,-,59.1,-,-,6.94
Giuseppe Sculli,Genoa,38,M(L),27(10),2502,6,5,5,-,1.7,71,1.2,1,6.94
Alexandros Tziolis,Robur Siena,34,M(C),13,1104,-,2,3,-,1.2,80.9,1.5,-,6.94
Riccardo Allegretti,Bari,41,FW,14(2),941,3,2,2,-,1.3,77.8,0.2,3,6.94
Fabio Cannavaro,Juventus,45,"D(L),DMC",27,2391,-,-,7,-,0.4,82.2,0.9,1,6.93
Julio Sergio,Roma,40,GK,30,2633,-,-,-,-,-,57.7,-,-,6.93
Nicola Legrottaglie,Juventus,42,D(C),18(1),1600,1,-,4,-,0.8,83.5,1.3,2,6.93
Emiliano Moretti,Genoa,38,D(CL),28(1),2316,1,-,4,1,0.1,83.8,1,1,6.93
Roberto Colombo,Bologna,43,Goalkeeper,4,360,-,-,-,-,-,58,-,-,6.93
Salvatore Sirigu,Palermo,32,GK,32,2880,-,-,3,-,-,49.4,-,3,6.92
Gennaro Gattuso,AC Milan,41,"D(C),M(C)",20(2),1495,-,-,7,1,0.5,85.7,0.4,-,6.92
Cristian Raimondi,Livorno,38,"D(R),M(R)",32,2691,-,3,9,-,0.9,72.6,0.7,-,6.92
Davide Santon,Inter,28,D(LR),8(4),756,-,-,-,-,0.3,87.3,0.5,-,6.92
Omar Milanetto,Genoa,43,"D(C),DMC",31(1),2641,3,4,8,-,0.8,82.1,0.1,2,6.92
Stefan Radu,Lazio,32,D(CL),28,2520,-,-,10,-,0.1,88.2,0.3,-,6.92
Davide Lanzafame,Parma,32,M(CL),14(13),1352,7,3,5,-,1.7,72.7,0.2,2,6.92
Maurizio Domizzi,Udinese,39,D(C),13,1075,-,-,4,-,0.2,82.3,1,-,6.92
Mauro Camoranesi,Juventus,42,"D(C),DMC",14(10),1266,3,4,5,-,1,75.6,0.3,1,6.92
Morgan De Sanctis,Napoli,42,GK,38,3420,-,-,2,-,-,56.4,-,3,6.92
Luca Rigoni,Chievo,34,M(CR),24,1945,1,-,10,1,0.5,79.9,0.5,2,6.92
Nicola Pavarini,Parma,45,GK,1(1),136,-,-,1,-,-,48.8,-,-,6.92
Fabio Liverani,Palermo,43,"D(C),DMC",20(1),1722,-,8,2,2,0.1,80.9,0.2,-,6.91
Cristian Brocchi,Lazio,43,"D(C),M(C)",25(2),2184,2,1,2,-,0.9,79.2,0.3,2,6.91
Paolo Cannavaro,Napoli,38,D(C),32(1),2898,1,-,15,-,0.4,74.5,1.4,1,6.91
Franco Semioli,Sampdoria,39,"D(C),DMC,M(R)",25(1),2036,2,2,1,-,0.7,81.8,0.5,-,6.91
Marcelo Zalayeta,Bologna,40,"AM(L),FW",23(6),2028,4,2,3,-,1.1,72.8,2.8,1,6.91
Tommaso Berni,Lazio,36,GK,2,180,-,-,-,-,-,45.3,-,-,6.90
Marco Storari,Sampdoria,42,GK,19,1710,-,-,2,-,-,43.1,0.1,1,6.90
Christian Terlizzi,Catania,39,D(C),15(2),1366,-,-,2,-,0.3,78.4,1.3,1,6.90
Luca Castellazzi,Sampdoria,43,GK,19,1670,-,-,1,-,-,47,-,1,6.90
Aleandro Rosi,Robur Siena,32,"D(R),M(R)",28(2),2466,1,1,13,-,0.5,84.4,0.6,1,6.90
Giuseppe Biava,Genoa,42,D(C),17(2),1486,1,-,6,1,0.3,85.2,1.4,-,6.90
Antonio Buscé,Bologna,43,"D(C),M(CR),FW",16(1),1474,2,2,1,-,0.8,79.2,0.9,-,6.90
Rafael dos Santos,Bologna,34,D(C),2,180,-,-,-,-,0.5,73.3,2,-,6.90
Mauricio Isla,Udinese,31,"D(R),M(CR)",27(3),2277,1,8,6,1,0.5,83.4,0.5,-,6.89
Nicolas Frey,Chievo,35,D(CLR),20(4),1890,-,2,4,-,0.1,71.8,0.4,1,6.89
Miguel Britos,Bologna,33,D(CL),21(2),1865,-,-,6,1,0.3,77.4,1.7,-,6.89
Stefano Sorrentino,Chievo,40,GK,37,3330,-,-,3,-,-,50.8,-,1,6.89
