Name,Team,Age,Position,Apps,Minutes,Total goals,Total Assists,Shots per game,Key passes per game,Dribbles per game,Fouled per game,Offsides per game,Dispossessed per game,Bad control per game,Rating
Íñigo López,Granada,36,D(C),28,2465,4,-,0.6,0.1,0.2,0.3,-,0.2,0.2,7.01
Fábio Coentrão,Real Madrid,31,"D(L),M(LR)",12(8),1215,-,3,0.5,0.8,0.6,0.8,0.1,0.9,0.7,7.01
Jeremy Mathieu,Valencia,35,D(CL),27(4),2363,-,3,0.7,0.8,0.2,0.7,0.1,0.5,0.6,7.01
Carlos Martins,Granada,37,"AM(C),FW",25(4),2025,3,6,1.9,1.9,1,1.6,0.1,1.9,1.1,7.00
Raúl Albiol,Real Madrid,33,D(C),5(5),611,-,-,0.4,0.3,0.2,0.3,-,-,0.3,7.00
Mikel San José,Athletic Bilbao,30,"D(C),DMC",15(9),1629,2,1,0.5,0.4,0.2,0.4,-,0.3,0.3,7.00
Juan Pablo,Sporting Gijon,40,GK,37,3330,-,-,-,0.1,-,0.2,-,-,-,7.00
Nano,Levante,37,DMC,17,1438,2,-,0.3,0.1,0.1,0.6,-,-,0.4,7.00
Miguel Ángel Moyá,Getafe,35,GK,36,3240,-,-,-,-,-,0.2,-,-,-,7.00
Mario Gaspar,Villarreal,28,"D(CR),M(R)",20(3),1872,1,-,0.5,0.4,0.5,0.3,0.1,0.3,0.5,7.00
Xabi Prieto,Real Sociedad,35,M(CLR),25(9),2295,2,5,0.6,1.3,0.7,1.8,0.2,1.5,0.6,7.00
Claudio Bravo,Real Sociedad,36,GK,37,3330,-,-,-,0.1,-,0.1,-,-,-,7.00
Lass Diarra,Real Madrid,34,M(C),15(2),1147,-,-,0.5,0.5,1.2,0.8,-,1.9,0.9,6.99
Juanlu,Levante,39,AM(L),13(6),1077,6,-,1.5,0.5,0.5,0.9,0.2,1,0.5,6.99
Tino Costa,Valencia,34,M(C),22(5),2033,5,2,1.6,1.1,0.3,1.1,-,1.3,0.9,6.99
Joan Oriol,Villarreal,32,D(L),21,1870,-,-,0.3,0.1,1,1.3,-,0.9,0.6,6.99
Iker Muniain,Athletic Bilbao,26,AM(CLR),30(3),2665,2,2,1.3,1.3,1.8,2.4,0.3,2.4,1.5,6.98
Rubén Pérez,Getafe,30,M(C),8(1),714,-,-,0.6,0.1,0.3,2.6,-,0.8,0.3,6.98
Álex Pérez,Getafe,27,Defender,1(1),121,-,-,-,-,-,0.5,-,-,0.5,6.98
Asier Del Horno,Levante,38,"D(C),DMC",12(1),1050,-,-,0.7,0.2,0.2,0.8,-,0.1,0.1,6.98
Fernando Tissone,Mallorca,32,M(C),21(6),1825,-,-,0.6,0.5,0.4,0.7,-,1.2,0.5,6.98
Sofiane Feghouli,Valencia,29,M(CR),25(5),2108,6,4,1.1,1,1,1.1,0.2,1.4,1.6,6.97
Ustaritz,Real Betis,36,"D(CL),DMC",6(1),514,-,-,0.4,-,-,0.9,-,-,0.1,6.97
Chechu Dorado,Real Betis,36,D(C),32(1),2892,1,-,0.3,0.2,0.1,0.4,-,-,-,6.96
Damiá,Osasuna,37,D(LR),24(6),2244,-,-,0.2,0.3,0.3,1,-,0.4,0.5,6.96
Coutinho,Espanyol,27,M(CLR),14(2),1189,5,1,2.5,0.9,1.5,1.6,0.4,1.1,1.7,6.96
Íñigo Martínez,Real Sociedad,28,D(C),26,2203,3,-,0.5,0.2,0.3,1.1,-,0.3,0.3,6.96
Ivan Obradovic,Real Zaragoza,30,D(L),13(4),1176,-,-,0.6,0.8,0.7,1.4,0.3,0.4,0.6,6.96
Carles Puyol,Barcelona,41,D(C),23(3),1920,3,-,0.4,0.2,0.4,1,-,0.3,0.4,6.95
Domingo Cisma,Racing Santander,37,D(L),25(1),2197,-,-,0.5,0.7,0.3,0.4,-,0.9,0.4,6.95
Alejandro Arribas,Rayo Vallecano,30,D(C),34,2997,1,1,0.5,0.2,0.1,0.8,-,0.2,0.2,6.95
Kaká,Real Madrid,37,"M(CL),FW",17(10),1385,5,7,1.2,1.4,0.7,1,0.1,1.6,0.9,6.95
Markel Susaeta,Athletic Bilbao,31,M(LR),34(4),2997,6,7,1.5,1.3,0.6,2.1,0.5,2,1.4,6.95
José Cañas,Real Betis,32,DMC,17(5),1597,-,-,0.4,0.5,0.3,1.7,-,0.8,0.5,6.95
Óscar Trejo,Sporting Gijon,31,M(CLR),26(7),2336,4,2,1.3,1.2,1.5,1.8,0.2,2.4,2.5,6.95
Héctor Moreno,Espanyol,31,D(CL),35,3150,3,1,0.3,0.3,0.1,1,0.2,0.2,0.1,6.95
