Name,Team,Age,Position,Apps,Minutes,Total goals,Total Assists,Shots per game,Key passes per game,Dribbles per game,Fouled per game,Offsides per game,Dispossessed per game,Bad control per game,Rating
Allan Saint-Maximin,SC Bastia,22,"AM(CLR),FW",29(4),2617,3,2,2.1,1.5,4.3,1.9,0.2,4.1,2.9,7.06
Jessy Moulin,Saint-Etienne,33,GK,6,460,-,-,-,-,-,0.2,-,-,-,7.06
Sylvain Marveaux,Lorient,33,"AM(CLR),FW",24,1920,5,6,1.3,2.1,1.7,0.9,0.2,1.8,2.1,7.06
Presnel Kimpembe,Paris Saint-Germain,23,D(C),19,1710,-,-,0.2,0.2,0.8,1.1,-,0.3,0.5,7.06
Ramy Bensebaini,Rennes,24,"D(CL),DMC",22(3),1838,-,-,0.6,0.3,0.7,0.8,-,0.2,0.8,7.06
Pierre Lees-Melou,Dijon,26,AM(CLR),30(2),2497,7,3,1.5,0.9,0.8,1,0.3,1.4,1.3,7.06
Javier Pastore,Paris Saint-Germain,30,AM(CLR),9(6),866,-,4,0.7,1.5,2.2,0.7,0.1,1.3,0.8,7.06
Clément Lenglet,Nancy,24,D(C),18,1620,-,-,0.3,0.1,0.1,1.3,-,0.3,0.3,7.05
Guillaume Gillet,Nantes,35,"D(R),M(CR)",38,3368,3,-,1.2,0.6,0.5,0.8,-,0.7,0.5,7.05
Yohann Pelé,Marseille,36,GK,38,3420,-,-,-,-,-,0.2,-,-,-,7.04
Dimitri Kevin Cavaré,Rennes,24,D(R),1(1),106,-,-,-,-,1.5,-,-,-,-,7.04
Valentin Rongier,Nantes,24,M(C),26(5),2165,2,1,1,0.7,0.9,0.5,-,0.8,1.5,7.04
Nicolas Nkoulou,Lyon,29,D(C),12,1080,-,-,0.3,-,0.5,1.3,-,0.3,0.3,7.04
Abdou Diallo,Monaco,23,D(CL),4(1),386,-,-,0.4,-,0.2,0.2,0.2,-,-,7.04
Jordan Veretout,Saint-Etienne,26,M(C),34(1),2949,3,4,1,1.5,1,1,-,0.8,1.3,7.03
Eiji Kawashima,Metz,36,GK,5,450,-,-,-,-,-,0.2,-,-,-,7.03
Lima,Nantes,27,"D(L),M(L)",38,3382,1,2,0.6,1.7,0.9,0.8,0.1,0.8,0.9,7.03
Rafael,Lyon,28,"D(LR),M(R)",24(2),2061,-,3,0.6,0.5,1.8,1.5,0.2,0.7,1,7.03
Blaise Matuidi,Paris Saint-Germain,32,M(CL),26(8),2415,4,4,1.2,0.8,0.6,1.1,0.3,1,1.7,7.02
Kevin Trapp,Paris Saint-Germain,28,GK,24,2124,-,-,-,-,-,0.1,-,-,-,7.02
Ellyes Skhiri,Montpellier,24,DMC,37,3286,1,1,0.9,0.6,1,0.6,0.1,0.8,0.6,7.02
Nicolas de Preville,Lille,28,"AM(CLR),FW",23(7),2074,14,1,2.1,1.2,1.5,1.3,0.3,2.3,2.6,7.02
Vincent Muratori,Nancy,31,D(L),17,1403,-,-,0.2,0.5,0.4,1.1,-,0.5,1.1,7.01
Mohamed Mara,Lorient,22,AM(L),7(2),626,-,1,1.3,0.7,3.3,0.6,0.7,2.1,2.7,7.01
Jordan Loties,Dijon,34,"D(C),DMC",23(1),2045,2,-,0.8,0.1,0.3,0.4,-,0.3,0.3,7.01
Tobias Badila,Nancy,26,D(CL),24(2),2251,1,-,0.5,0.3,0.2,0.6,-,0.6,0.6,7.00
François Moubandje,Toulouse,29,D(CL),34,3037,-,1,0.2,0.6,1.4,0.7,-,0.9,0.9,7.00
Adama Soumaoro,Lille,27,D(CR),26(1),2326,-,-,0.4,0.1,0.9,0.6,-,0.1,0.3,6.99
Michael Ciani,Lorient,35,D(C),25,2169,3,-,0.9,0.1,0.4,0.5,-,0.2,0.4,6.98
Joris Gnagnon,Rennes,22,D(C),27,2330,1,-,0.8,0.1,0.4,1.1,-,0.1,0.4,6.98
Mario Balotelli,Nice,28,FW,20(3),1746,15,1,3.3,0.4,0.7,2.9,0.8,1.8,1.4,6.98
Alexander Djiku,SC Bastia,24,D(CR),20(2),1759,1,-,0.7,0.3,0.4,1,-,0.6,0.4,6.98
Mouctar Diakhaby,Lyon,22,D(C),22,1930,1,-,1,0.1,0.3,0.7,0.1,0.1,0.4,6.98
Alou Diarra,Nancy,37,"D(C),M(C)",16(2),1297,2,-,0.2,0.4,0.3,0.7,-,0.9,0.6,6.98
Sébastien Corchia,Lille,28,"D(R),M(R)",38,3417,1,1,1,0.6,0.6,1.7,-,1.3,1,6.98
Arnaud Souquet,Nice,27,D(CR),26,2340,1,5,0.7,0.5,0.7,1.4,0.2,0.9,1.4,6.98
Rony Lopes,Lille,23,AM(CLR),22(3),1877,4,4,2.7,1.2,1.9,1.2,0.2,2.3,2.3,6.97
Jérémy Morel,Lyon,35,D(CL),29,2544,-,4,0.2,0.6,0.7,0.9,0.1,0.9,1,6.97
Rod Fanni,Marseille,37,D(CR),27(1),2396,1,-,0.1,0.1,0.6,0.2,-,0.3,0.4,6.97
Renato Civelli,Lille,35,D(C),12(1),1096,1,-,0.8,0.2,0.1,0.6,-,0.3,0.2,6.97
Rolando,Marseille,33,D(C),29(1),2617,4,-,0.5,0.1,-,0.5,-,0.1,0.3,6.97
Stéphane Ruffier,Saint-Etienne,32,GK,31,2790,-,-,-,-,-,-,-,-,-,6.96
Diego Contento,Bordeaux,29,D(L),24(1),2105,-,1,0.5,0.4,-,1.6,-,0.2,0.7,6.96
Benjamin Leroy,Dijon,30,GK,1,90,-,-,-,-,-,-,-,-,-,6.96
Benjamin Moukandjo,Lorient,30,"M(LR),FW",24(1),2009,13,1,2,1,1,1.2,0.6,1.9,2.2,6.96
Igor Lewczuk,Bordeaux,34,D(C),25,2116,1,-,0.4,0.1,0.2,0.4,0.2,0.1,0.2,6.95
Tomas Hubocan,Marseille,33,D(CLR),11(2),996,-,-,0.3,0.1,0.3,0.8,-,0.2,0.2,6.95
Hilton,Montpellier,41,D(C),32,2807,1,-,0.7,0.2,0.2,0.8,-,0.1,0.3,6.95
Naim Sliti,Lille,26,AM(CL),10(6),953,1,1,1.4,1.9,2.4,1.6,0.1,2.5,1.9,6.94
Valère Germain,Monaco,29,"AM(L),FW",27(9),2240,10,3,1.8,0.6,0.2,0.5,0.2,0.7,0.9,6.94
Júnior Alonso,Lille,26,D(CL),10(2),956,-,1,0.2,0.7,0.3,0.3,0.1,0.5,0.2,6.94
David Luiz,Paris Saint-Germain,32,"D(C),DMC",3,242,-,-,1,0.3,1.3,0.7,-,-,0.3,6.94
Flavien Tait,Angers,26,AM(CLR),5(6),437,2,2,0.6,0.5,0.9,0.6,0.1,0.4,0.8,6.94
Quentin Bernard,Dijon,29,D(L),6(1),553,-,-,0.1,0.1,0.6,1,-,0.4,0.9,6.94
Morgan Sanson,Marseille,24,M(CLR),15(2),1358,1,7,1.4,1.2,1.1,1.6,0.2,1.8,2.1,6.94
Mike Maignan,Lille,23,GK,6(1),565,-,-,-,-,-,0.1,-,-,0.3,6.94
Lass Diarra,Marseille,34,M(C),8(3),727,-,-,0.3,0.3,1.9,0.8,-,1.2,0.5,6.94
Romain Hamouma,Saint-Etienne,32,"M(CLR),FW",22(7),1968,7,5,1.6,1.7,1.4,1.2,0.5,1.3,2,6.94
Abdoulaye Bamba,Angers,29,"D(LR),M(R)",7(1),593,-,2,0.3,1.1,1,0.3,-,0.3,0.1,6.93
Júlio Tavares,Dijon,30,"AM(LR),FW",31(4),2765,9,3,1.6,0.8,0.4,1.2,0.8,1.4,2.1,6.93
Mathieu Peybernes,SC Bastia,28,D(C),19,1641,-,-,-,-,0.5,1.6,-,0.4,0.2,6.93
Léo Dubois,Nantes,24,D(LR),35(1),3135,-,7,0.8,1.1,0.8,0.7,-,0.8,1.1,6.93
Christophe Kerbrat,Guingamp,32,D(C),35,3135,-,1,0.2,0.2,0.1,0.9,-,-,0.3,6.93
Mathieu Valbuena,Lyon,34,M(CLR),15(15),1490,8,5,1.5,1.6,0.8,1.3,0.1,1.2,1,6.93
Maxime Lopez,Marseille,21,M(C),26(4),2188,3,7,0.8,1.6,1,0.8,0.1,0.7,1.3,6.92
João Moutinho,Monaco,32,M(C),19(12),1768,2,4,0.6,0.9,0.3,0.6,-,0.5,0.3,6.92
Yoann Gourcuff,Rennes,32,M(CL),27,2299,4,3,1.4,1.7,0.7,1.4,0.2,2.1,1.8,6.91
