Name,Team,Age,Position,Apps,Minutes,Tackles per game,Interceptions per game,Fouls per game,Offsides per game,Clearances per game,Dribbled past per game,Outfield blocks per game,Own goals,Rating
Luca Ceccarelli,Cesena,36,D(CR),25(7),2367,2.6,2.2,1.4,0.2,4.1,1.2,0.3,-,7.01
Houssine Kharja,Inter,36,"D(C),M(C),FW",10(5),923,2.8,0.9,1.7,-,0.7,0.7,0.3,-,7.00
Gaetano D'Agostino,Fiorentina,37,M(C),12(8),1224,2.8,1.2,1,-,1.1,1.3,0.2,-,7.00
Jonathan Zebina,Brescia,40,D(C),26(2),2357,1.7,3,0.9,0.9,6.5,0.4,0.6,-,7.00
Yuto Nagatomo,Cesena,32,"D(LR),M(LR)",16,1440,2.9,1.7,0.9,0.5,4.1,0.7,0.3,-,7.00
Alessandro Diamanti,Brescia,36,"M(CR),FW",29(3),2397,1.1,0.5,1.9,-,0.2,0.8,0.1,-,7.00
Matías Silvestre,Catania,34,D(C),36,3234,1.5,1.7,1,1.7,8.6,0.2,0.5,-,6.99
David Di Michele,Lecce,43,"AM(CL),FW",22(1),1880,0.8,0.5,0.7,-,0.1,0.2,-,-,6.99
Francesco Pisano,Cagliari,33,D(LR),15(3),1340,2.6,2.2,1.2,0.2,4.4,0.2,0.3,-,6.99
Archimede Morleo,Bologna,35,"D(L),M(L)",7(2),611,2.4,3.7,0.9,0.6,2,0.6,0.1,-,6.98
Giandomenico Mesto,Genoa,37,"D(R),M(R)",32(4),2799,2.6,1.9,1.6,0.1,3.8,0.8,0.2,-,6.98
Giuseppe Mascara,Catania,39,"AM(CL),FW",16(2),1376,0.8,1.2,1.2,-,0.8,0.2,-,-,6.98
Gennaro Sardo,Chievo,40,"D(R),M(R)",20(7),1893,1.9,2,2.1,0.1,4.8,0.4,0.3,-,6.98
Gonzalo Bergessio,Catania,34,FW,12(1),1058,1.2,0.5,2.2,-,0.8,0.1,-,-,6.97
Fabio Grosso,Juventus,41,D(CL),17(2),1599,3.2,1.8,1.7,0.7,3.7,0.9,0.1,-,6.97
Dídac Vilá,AC Milan,30,D(L),1,90,-,2,1,-,4,1,1,-,6.97
Jérémy Ménez,Roma,32,"M(CLR),FW",23(9),1808,1.4,0.7,0.9,-,0.1,0.3,-,-,6.97
Bostjan Cesar,Chievo,36,D(C),29(3),2623,1.8,2.1,1.6,1.3,9.5,0.6,0.4,-,6.96
Francesco Lodi,Catania,35,M(C),10(6),952,1,0.9,0.6,-,0.8,0.9,0.1,-,6.96
Giuseppe Biava,Lazio,42,D(C),35,3042,2.7,2.7,1.6,1.1,5.3,0.9,0.6,-,6.96
Marek Hamsik,Napoli,31,AM(C),36(1),2987,0.9,0.6,0.5,-,0.3,0.3,-,-,6.96
Andrea Caracciolo,Brescia,37,"AM(C),FW",30(3),2631,0.7,0.2,2.2,-,1.7,0.2,0.1,-,6.95
Paolo Cannavaro,Napoli,38,D(C),31(1),2722,1.6,1.8,1.1,0.8,6.2,0.4,1.2,-,6.95
Massimo Volta,Sampdoria,32,D(C),20(5),1963,2.2,2,1.3,0.8,7.7,0.3,0.6,-,6.95
Daniele Bonera,AC Milan,38,D(CR),15(1),1280,2.1,1.9,1.1,0.6,3.4,0.8,0.4,-,6.94
Pablo Armero,Udinese,32,"D(L),M(L)",29(2),2578,1.7,1.8,1.5,0.1,1.6,0.4,0.1,-,6.94
Juraj Kucka,Genoa,32,M(CL),15(2),1303,2.9,1.1,2.3,-,2.7,1.2,0.2,-,6.94
Giuseppe Bellusci,Catania,29,D(CR),6(3),527,1.6,3.1,0.7,0.8,3.4,0.8,0.8,-,6.94
Mariano Bogliacino,Chievo,39,"AM(C),FW",23(11),2078,1.4,1.3,0.6,-,0.5,0.5,0.1,-,6.94
Tommaso Berni,Lazio,36,GK,2,180,-,-,-,-,1.5,-,-,-,6.94
Gelson Fernandes,Chievo,32,DMC,24(5),2337,3.2,2.6,2.6,0.1,2,1,0.2,-,6.93
Francesco Bega,Brescia,44,"D(CL),DMC,M(L)",25(2),2290,1.7,2.9,1.2,0.7,6.7,0.4,0.8,-,6.93
Ciro Capuano,Catania,37,D(L),22(1),1817,2.7,2,0.6,0.5,3.3,0.8,0.2,-,6.93
