Name,Team,Age,Position,Apps,Minutes,Total Assists,Key passes per game,Passes per game,Pass success percentage,Crosses per game,Long balls per game,Through balls per game,Rating
Francesco Acerbi,AC Milan,31,D(C),5(1),471,-,-,47,91.8,-,5.5,-,7.08
Diego Pérez,Bologna,39,M(C),23,1718,2,0.7,43.5,80.2,-,2.7,0.1,7.07
Danilo,Udinese,35,D(C),32,2817,1,0.2,39.4,77.9,-,5.4,0.1,7.07
Alessandro Lucarelli,Parma,41,D(C),30(2),2736,-,0.5,47,79.4,0.1,4.3,0.1,7.06
Matías Rodríguez,Sampdoria,33,D(R),1,90,-,-,33,84.8,-,-,-,7.06
Valerio Di Cesare,Torino,36,D(C),7(2),675,-,0.1,38.6,88.5,-,1.7,-,7.05
Daniele Portanova,Genoa,40,D(C),15,1350,-,0.1,32.2,84.3,-,3.9,-,7.05
Matteo Brighi,Torino,38,M(C),18(5),1677,1,0.8,39.1,86.9,0.1,2.6,0.1,7.04
Antonio Balzano,Pescara,33,D(LR),23(3),2079,-,0.5,37.2,79.1,0.8,1.7,-,7.04
Marco Andreolli,Chievo,33,D(C),28,2493,-,-,30.3,84.7,0.1,3.5,-,7.04
Cristian Raimondi,Atalanta,38,"D(R),M(R)",22(4),2038,3,0.8,26.8,76.1,1.1,0.8,0.1,7.03
Alessandro Gamberini,Napoli,37,D(C),24(1),1905,-,-,30,87.6,-,1.2,-,7.03
Daniele Bonera,AC Milan,38,D(CR),13,1130,-,0.2,40.5,92.2,-,7.8,0.1,7.03
Jaime Valdés,Parma,38,AM(C),28(1),2409,2,1.3,57.6,84.1,1.1,7.3,0.3,7.03
Emanuele Giaccherini,Juventus,34,M(CLR),10(7),944,3,1.9,37.4,87.9,1,2.1,0.1,7.03
Luca Rigoni,Chievo,34,M(CR),31(1),2724,3,0.8,49.2,83.5,0.2,3.6,0.1,7.03
Stefano Sorrentino,Palermo,40,GK,15,1350,-,0.1,21.9,56.7,-,5.5,-,7.02
Guglielmo Stendardo,Atalanta,38,D(C),29(3),2632,1,0.2,25.1,86.2,-,2.6,-,7.02
Amauri,Parma,39,FW,26(7),2266,4,0.9,14.8,71.5,0.2,0.1,-,7.02
Gabriel Silva,Udinese,28,"D(LR),M(L)",13(5),1227,3,0.8,19.7,73.7,0.4,0.3,0.1,7.02
Daniele Portanova,Bologna,40,D(C),5,450,-,-,37.2,82.8,-,3,0.2,7.02
Nicola Murru,Cagliari,24,D(L),13,1076,-,0.2,30.3,76.6,0.2,1,-,7.02
Joel Obi,Inter,28,M(CR),1(1),95,-,0.5,15.5,83.9,-,-,-,7.02
Michele Canini,Genoa,34,D(C),14,1260,-,0.2,30.8,78.2,0.1,3.6,0.1,7.01
