Name,Team,Age,Position,Apps,Minutes,Total Goals,Total Assists,Yellow cards,Red cards,Shots per game,Pass success percentage,Aerials won per game,Man of the match,Rating
Jay-Roy Grot,VVV-Venlo,21,"AM(LR),FW",19(14),1813,6,3,1,-,1.6,66.7,1.4,3,6.63
Maximilian Rossmann,Heracles,24,D(C),29,2464,1,1,6,-,0.3,77.8,2.6,1,6.63
Robin Pröpper,Heracles,25,"D(C),DMC",5,413,-,1,1,-,1.2,75.7,2.4,-,6.63
Kaj Sierhuis,FC Groningen,21,FW,15(2),1188,3,-,1,-,2.1,61.7,2.1,-,6.63
Eduardo,Vitesse,36,GK,27,2430,-,1,1,-,-,59.1,0.3,-,6.63
David Jensen,FC Utrecht,27,GK,33,2970,-,1,-,-,-,59.8,0.5,-,6.63
Damil Dankerlui,Willem II,22,"D(R),M(R)",29(3),2465,3,7,4,1,0.6,77.8,0.8,-,6.62
Bas Kuipers,ADO Den Haag,24,D(L),2(1),213,-,-,1,-,-,76.5,1.7,-,6.62
Michael Breij,FC Groningen,22,Forward,5(4),386,1,-,1,-,1.1,71.4,0.7,-,6.61
Tim Breukers,Heracles,31,D(LR),24(2),2150,-,2,4,1,0.2,77.2,1.3,-,6.61
Jurgen Ekkelenkamp,Ajax,19,Midfielder,0(3),90,-,-,1,-,1,82,1.7,-,6.61
Carel Eiting,Ajax,21,M(C),4(3),405,-,1,-,-,0.6,80.5,0.3,-,6.60
Cody Gakpo,PSV Eindhoven,20,Forward,2(14),392,1,5,-,-,0.7,73.6,0.4,-,6.60
Warner Hahn,SC Heerenveen,27,GK,34,3060,-,-,1,-,-,58.5,0.3,1,6.60
Yoëll van Nieff,Heracles,26,"D(CL),DMC",10(5),812,-,-,1,-,0.5,82.2,0.4,-,6.59
Peter van Ooijen,VVV-Venlo,27,AM(CR),18(7),1564,2,4,1,1,1.3,81,0.2,1,6.59
Ruben Ligeon,PEC Zwolle,27,D(LR),1,90,-,-,-,-,-,89.7,-,-,6.59
Hilal Ben Moussa,FC Emmen,27,DMC,17(1),1402,1,-,4,-,0.7,82.2,0.8,-,6.59
Danilho Doekhi,Vitesse,21,D(C),15(5),1405,-,-,-,2,0.4,91.3,1.7,-,6.58
Lorenzo Burnet,Excelsior,28,D(L),28(1),2424,-,2,2,-,0.2,77.9,0.8,-,6.58
Luka Ilic,NAC Breda,19,AM(C),8(8),856,2,2,2,-,1.3,83,0.6,-,6.57
Lennart Czyborra,Heracles,20,D(L),16(4),1545,-,1,1,1,0.2,70.1,1.4,-,6.57
Pantelis Hatzidiakos,AZ Alkmaar,22,D(C),13(4),1194,1,1,5,-,0.4,87.9,1.2,-,6.57
