Name,Team,Age,Position,Apps,Minutes,Total Goals,Total Assists,Yellow cards,Red cards,Shots per game,Pass success percentage,Aerials won per game,Man of the match,Rating
Iker Muniain,Athletic Bilbao,26,AM(CLR),25,2034,1,1,7,-,1.2,79.4,0.6,1,6.94
Jan Oblak,Atletico Madrid,26,GK,11,990,-,-,2,-,-,47.7,0.4,-,6.94
Emanuel Insúa,Granada,28,D(L),12,1022,-,1,4,1,0.6,76.4,2.3,1,6.93
Luisinho,Deportivo La Coruna,34,"D(L),M(L)",34(1),2947,-,1,10,1,0.3,78.6,0.6,-,6.93
Sergio Asenjo,Villarreal,30,GK,34,3055,-,-,1,-,-,42.2,0.6,-,6.93
Roque Santa Cruz,Malaga,37,FW,11(1),913,3,1,-,-,2.1,72.1,4.2,-,6.93
Aleix Vidal,Sevilla,29,"D(R),M(LR)",22(9),2167,4,5,8,-,0.6,74.4,0.5,1,6.93
Michael Krohn-Dehli,Celta Vigo,36,M(CLR),35(1),3105,1,5,7,-,1.3,84.3,0.3,2,6.93
Jonathas,Elche,30,FW,34,3022,14,7,10,1,2.6,68.9,2.4,5,6.92
Esteban Granero,Real Sociedad,31,M(CLR),29(4),2508,-,2,10,-,0.7,83.6,1.6,-,6.92
Edimar,Cordoba,33,D(L),17,1499,-,1,1,-,0.6,76.8,1.2,2,6.92
Jonny,Celta Vigo,25,"D(CLR),M(L)",32(4),2964,-,1,9,-,0.3,84.3,1.2,1,6.92
Hugo Mallo,Celta Vigo,28,"D(CR),M(R)",27(1),2338,1,-,6,-,0.4,76.9,1.5,-,6.92
André Gomes,Valencia,25,M(CLR),31(2),2559,4,1,8,1,1.2,79.2,2.2,-,6.92
Ander Iturraspe,Athletic Bilbao,30,M(C),20(5),1811,2,-,6,-,0.4,77.6,3.1,1,6.91
Carlos Martínez,Real Sociedad,33,D(R),13(2),1177,-,2,-,-,0.5,69,2.1,-,6.91
Abdoulaye Ba,Rayo Vallecano,28,D(C),20,1620,-,-,10,-,0.4,77.8,3,-,6.91
Vitolo,Sevilla,29,M(CLR),25(3),2091,6,3,6,-,1.1,81.5,0.7,2,6.91
Daniel Carriço,Sevilla,30,"D(C),DMC",28,2517,1,-,8,1,0.5,81.7,1.9,1,6.91
Naldo,Getafe,30,D(C),28(2),2573,-,-,5,-,0.2,73.4,2.8,1,6.90
Pedro León,Getafe,32,M(LR),16(9),1471,2,5,1,-,1.8,72.8,0.8,2,6.90
Javi López,Espanyol,33,"D(R),DMC",25(3),2099,-,1,8,-,0.3,73.7,2.3,-,6.90
Joel Campbell,Villarreal,27,"AM(LR),FW",16,1211,1,-,1,-,1.5,70.9,1.4,-,6.89
Roberto Trashorras,Rayo Vallecano,38,M(C),33,2888,1,4,11,-,1.3,86.2,0.8,1,6.89
Sebastián Dubarbier,Almeria,33,"D(L),M(L)",32,2769,-,1,12,2,0.4,63.7,0.7,2,6.89
Ximo Navarro,Almeria,29,D(CR),29,2410,-,2,6,-,0.4,73.1,1,1,6.88
Víctor Sánchez,Espanyol,31,"D(LR),M(CL)",29(5),2482,3,3,16,-,0.7,75.7,1.6,-,6.88
Edu Albácar,Elche,39,D(L),16(2),1437,3,3,7,-,0.8,64.8,1.6,1,6.88
Míchel,Getafe,30,M(CR),8(4),777,1,-,4,-,1.1,82.3,0.3,1,6.88
Paco Alcácer,Valencia,25,"AM(R),FW",26(6),2174,11,5,2,1,1.9,69,0.8,3,6.87
Enzo Roco,Elche,26,D(C),32,2880,-,1,6,-,0.5,76.3,2.1,1,6.87
Manu Trigueros,Villarreal,27,M(C),28(5),2428,1,1,9,-,1.2,78.8,0.9,-,6.87
Raúl Navas,Eibar,31,D(C),28(1),2460,2,-,7,2,0.4,69.4,2.2,1,6.87
Saúl Ñíguez,Atletico Madrid,24,"D(CL),M(CLR)",9(15),1056,4,2,1,-,0.7,71.3,1.9,-,6.87
Gonzalo Castro,Real Sociedad,34,"AM(LR),FW",22(10),1831,4,4,2,-,1.3,77.2,0.6,2,6.87
Zé Castro,Rayo Vallecano,36,D(C),28,2416,-,3,6,-,0.2,79.2,2.1,1,6.86
Oriol Riera,Deportivo La Coruna,32,FW,18(3),1516,4,1,3,-,2.4,65.4,6,2,6.86
Sergio Rico,Sevilla,25,GK,19(2),1810,-,-,2,-,-,51.6,0.7,-,6.86
Claudio Bravo,Barcelona,36,GK,37,3330,-,-,1,-,-,80,0.2,-,6.86
Rubén Pardo,Real Sociedad,26,M(C),21(7),1918,1,6,5,-,0.8,80.5,0.5,1,6.86
Faycal Fajr,Elche,30,M(CLR),29(5),2568,1,4,1,1,0.9,77.5,0.7,1,6.86
Óscar De Marcos,Athletic Bilbao,30,"D(LR),M(CR)",32(3),2945,1,3,6,-,0.7,67.7,1.3,1,6.85
Iván López,Levante,25,D(R),23(3),2089,-,3,2,-,0.5,67.2,0.8,-,6.85
Carlos Vela,Real Sociedad,30,"M(CLR),FW",23(6),2061,9,3,5,-,2.1,75.5,0.1,2,6.85
Alejandro Arribas,Sevilla,30,D(C),10(1),866,-,1,4,-,0.4,77.2,2.2,-,6.85
Sergio Marcos,Villarreal,27,M(C),5(2),481,-,-,-,-,0.4,77.8,0.7,-,6.85
