Name,Team,Age,Position,Apps,Minutes,Total Goals,Total Assists,Yellow cards,Red cards,Shots per game,Pass success percentage,Aerials won per game,Man of the match,Rating
Seamus Coleman,Everton,30,"D(R),M(R)",12,1036,-,1,-,-,0.4,73.4,1.2,-,6.87
Tiemoué Bakayoko,Chelsea,24,DMC,24(5),2126,2,2,3,1,1.4,86.2,1.4,1,6.87
Chancel Mbemba,Newcastle United,24,"D(CL),DMC",7(2),672,-,-,-,-,-,71.8,2.1,1,6.87
Gary Cahill,Chelsea,33,D(C),24(3),2084,-,-,1,1,0.4,89,3.4,-,6.87
Nathaniel Chalobah,Watford,24,DMC,5(1),448,-,-,1,-,2,72.5,1.8,-,6.86
Aaron Mooy,Huddersfield,28,M(C),34(2),3071,4,3,5,-,0.8,79.5,0.9,-,6.86
Maya Yoshida,Southampton,30,D(CR),23(1),2051,2,-,2,1,0.8,84.2,2.8,-,6.86
Luke Shaw,Manchester United,23,"D(L),M(L)",8(3),789,-,-,2,-,1.1,84.9,1.5,-,6.86
Pedro Obiang,West Ham,27,DMC,18(3),1565,2,-,3,-,0.6,80.4,1,2,6.85
Peter Crouch,Stoke,38,FW,14(17),1555,5,2,4,-,0.7,58.8,7.8,1,6.85
Mohamed Diamé,Newcastle United,32,M(CLR),23(8),2043,2,-,3,-,0.6,81.5,2,1,6.85
David Luiz,Chelsea,32,"D(C),DMC",9(1),839,1,-,4,1,1.1,85.4,1.7,-,6.85
Vicente Iborra,Leicester,31,M(C),17(2),1417,3,-,-,-,0.7,81.4,1.7,1,6.85
Mikel Merino,Newcastle United,23,M(C),14(10),1343,1,1,4,-,0.7,79.3,1.6,1,6.85
Richarlison,Watford,22,"AM(CLR),FW",32(6),2827,5,4,4,-,2.5,63.9,3.2,4,6.84
Kyle Naughton,Swansea,30,"D(LR),M(R)",34,3033,-,2,1,-,0.4,74.8,2,-,6.84
Matt Ritchie,Newcastle United,29,"D(L),M(CLR)",32(3),2812,3,5,6,-,1.7,72.5,0.9,1,6.84
Daley Blind,Manchester United,29,"D(CL),DMC,M(L)",4(3),361,-,-,-,-,0.4,85.3,1.1,-,6.84
Claudio Bravo,Manchester City,36,GK,2(1),225,-,-,-,-,-,90.9,0.3,-,6.83
David de Gea,Manchester United,28,GK,37,3330,-,-,-,-,-,57.5,0.1,2,6.83
Robert Elliot,Newcastle United,33,GK,16,1440,-,-,-,-,-,53.6,0.4,-,6.83
Eldin Jakupovic,Leicester,34,GK,2,180,-,-,-,-,-,53.5,0.5,-,6.83
Jack Wilshere,Arsenal,27,M(CLR),12(8),1188,1,3,6,-,0.8,86.4,0.4,1,6.82
Phil Jagielka,Everton,36,D(CR),23(2),2065,-,-,2,-,0.3,75.9,2.7,2,6.82
Jesse Lingard,Manchester United,26,AM(CLR),20(13),1823,8,5,2,-,1.7,87.8,0.2,1,6.82
Joel Ward,Crystal Palace,29,"D(LR),DMC,M(R)",19,1616,-,1,4,-,0.3,71.8,1.7,-,6.82
Ben Chilwell,Leicester,22,"D(L),M(L)",20(4),1852,-,2,1,1,0.3,73.9,2.8,1,6.82
Christian Fuchs,Leicester,33,"D(CL),M(L)",21(4),1918,-,1,1,-,0.4,74.1,2.4,2,6.81
Pascal Groß,Brighton,28,M(C),35(3),2949,7,8,2,-,1.2,76.2,0.3,2,6.81
Alfie Mawson,Swansea,25,D(C),38,3420,2,1,3,-,0.5,81.1,3.2,-,6.81
Mason Holgate,Everton,22,"D(CR),M(R)",13(2),1183,-,-,3,-,0.4,67.4,2.2,-,6.81
Marvin Zeegelaar,Watford,28,"D(L),M(L)",12,995,-,1,4,1,-,79.9,1.1,1,6.81
Ragnar Klavan,Liverpool,33,D(C),16(3),1449,1,-,-,-,0.1,90.7,2.1,-,6.81
Mark Noble,West Ham,32,M(C),28(1),2405,4,-,6,-,0.5,83.9,0.3,1,6.81
Mamadou Sakho,Crystal Palace,29,D(C),18(1),1599,1,2,1,-,0.2,85.5,2.2,-,6.81
Cheikhou Kouyaté,West Ham,29,"D(CR),DMC",32(1),2803,2,3,5,-,0.7,76,3.7,2,6.80
Marc Albrighton,Leicester,29,M(LR),30(4),2544,2,7,5,1,0.6,67.2,0.3,2,6.80
Gerard Deulofeu,Watford,25,"AM(LR),FW",5(2),438,1,-,-,-,1.1,74.6,-,1,6.80
Andreas Christensen,Chelsea,23,"D(C),DMC",23(4),2071,-,-,-,-,0.4,93.4,2.1,-,6.80
Alberto Moreno,Liverpool,26,"D(L),M(L)",14(2),1264,-,-,1,-,0.8,84.3,0.6,-,6.80
Yohan Cabaye,Crystal Palace,33,M(C),28(3),2389,-,1,7,-,1.2,82.4,0.2,1,6.80
Patrick van Aanholt,Crystal Palace,28,"D(L),M(L)",25(3),2186,5,1,7,-,1.2,77.2,0.2,1,6.80
Jack Stephens,Southampton,25,D(C),22,1980,2,-,6,1,0.5,75.5,2,1,6.79
Dale Stephens,Brighton,30,M(C),36,3240,-,3,6,-,0.5,83.9,0.8,-,6.79
Héctor Bellerín,Arsenal,24,"D(R),M(R)",34(1),3051,2,3,5,-,0.8,84.9,1,-,6.79
Chris Wood,Burnley,27,FW,20(4),1634,10,1,1,-,1.6,60.2,3.5,1,6.79
Ciaran Clark,Newcastle United,29,D(CL),19(1),1745,2,1,3,-,0.6,71.7,2.1,-,6.79
Georginio Wijnaldum,Liverpool,28,M(CL),27(6),2387,1,2,1,-,1.2,89.9,0.5,-,6.79
Anthony Knockaert,Brighton,27,AM(LR),27(6),2427,3,1,4,1,1.4,83.3,0.5,4,6.79
Bernardo Silva,Manchester City,24,AM(CLR),15(20),1520,6,4,-,-,0.7,87,0.1,1,6.79
James Milner,Liverpool,33,"D(LR),M(CLR)",16(16),1764,-,3,3,-,0.7,86.4,0.7,1,6.78
