Name,Team,Age,Position,Apps,Minutes,Total Assists,Key passes per game,Passes per game,Pass success percentage,Crosses per game,Long balls per game,Through balls per game,Rating
Ja-Cheol Koo,Augsburg,30,M(CLR),18(3),1601,2,1.5,34.4,83.1,1.3,2.6,0.2,7.12
Dante,Bayern Munich,35,D(C),29,2610,1,0.1,66.5,90.6,-,8.4,-,7.12
Heurelho Gomes,Hoffenheim,38,GK,9,774,-,-,30.2,53.7,-,10.1,-,7.12
Timm Klose,Nuernberg,31,D(C),32,2800,1,0.1,39,79.1,-,5.8,-,7.12
Javier Pinola,Nuernberg,36,D(CL),27(1),2464,1,0.6,34.3,75,0.5,2.1,-,7.12
Sven Bender,Borussia Dortmund,30,"D(C),M(C)",15(5),1334,-,0.4,42.1,82.6,0.1,3.4,0.1,7.11
Georg Niedermeier,VfB Stuttgart,33,D(C),25(2),2240,1,0.1,35,82.9,-,5.1,-,7.11
Michel Bastos,Schalke 04,35,"D(L),M(CLR)",14,1079,1,1,26.8,78.9,0.4,1.1,0.2,7.11
Fallou Diagne,Freiburg,29,"D(CR),DMC",29(1),2449,1,0.2,42,80.4,-,5.1,-,7.11
Anderson,Eintracht Frankfurt,31,D(C),28,2492,2,0.1,44.5,85.5,-,5.6,-,7.11
Christian Gentner,VfB Stuttgart,33,M(CLR),34,3033,1,1.3,43.8,78.2,0.6,3.7,0.1,7.11
André Hahn,Augsburg,28,"AM(R),FW",12(4),1116,3,1.1,16.1,58.4,1.1,0.4,-,7.10
Vieirinha,Wolfsburg,33,"D(R),M(LR)",22(5),1978,4,1.1,28.2,77.8,0.7,1,0.1,7.10
Joel Matip,Schalke 04,27,D(C),32,2873,-,-,47.2,82,-,5.6,-,7.09
Alexandru Maxim,VfB Stuttgart,28,AM(CL),8(3),680,1,2.4,27.5,84.5,2.1,1.3,-,7.08
Sebastian Langkamp,Augsburg,31,D(C),11,990,-,0.1,38.5,82.8,0.1,4.4,-,7.08
Sotirios Kyrgiakos,Wolfsburg,39,"D(L),DMC",1(1),129,-,-,30,75,-,2,-,7.07
Jan-Ingwer Callsen-Bracker,Augsburg,34,D(C),23(1),2062,1,0.4,42,78.2,0.2,8,-,7.07
Lars Stindl,Hannover 96,30,"M(CR),FW",17(1),1513,3,1.2,41.4,74.7,0.6,1.9,0.1,7.07
Jan Kirchhoff,Mainz 05,28,"D(C),DMC",9(9),1103,1,0.4,41.3,82,-,3.6,0.1,7.06
Marcel Schmelzer,Borussia Dortmund,31,"D(CL),M(L)",29,2490,1,1.3,37.5,75.9,0.9,1.9,-,7.05
Simon Rolfes,Bayer Leverkusen,37,M(C),26(4),2319,2,0.8,35.5,80.3,0.1,2.4,0.2,7.05
Mensur Mujdza,Freiburg,35,D(R),21(2),1876,1,0.6,32.6,72.5,0.8,1.5,-,7.04
David Abraham,Hoffenheim,32,D(C),12,1024,-,0.3,45.4,76.5,-,6.1,-,7.04
Daniel Van Buyten,Bayern Munich,41,D(C),11(2),1066,-,-,64,90.9,-,5.8,-,7.04
Zlatko Junuzovic,Werder Bremen,31,M(CLR),28(2),2466,2,1,42.6,79,0.3,2.4,0.1,7.04
Paul Verhaegh,Augsburg,35,"D(R),M(R)",16(1),1472,1,0.9,36.7,80.6,0.8,3.1,0.2,7.03
Raffael,Schalke 04,34,"AM(CL),FW",7(9),809,5,1.5,24.4,83.1,0.4,1,0.3,7.03
Carlos Zambrano,Eintracht Frankfurt,29,D(C),30,2646,-,0.2,44.4,82.7,-,5.6,0.1,7.03
Dennis Diekmeier,Hamburger SV,29,"D(R),M(R)",31(1),2843,4,1.3,28.3,77.6,1.6,0.9,-,7.03
Jan Polák,Wolfsburg,38,M(C),26(1),2213,2,0.5,42.2,85.4,0.1,4.6,0.2,7.02
