Name,Team,Age,Position,Apps,Minutes,Tackles per game,Interceptions per game,Fouls per game,Offsides per game,Clearances per game,Dribbled past per game,Outfield blocks per game,Own goals,Rating
Javier Camuñas,Osasuna,38,"AM(CL),FW",30(1),2557,1.9,1.7,1.7,-,0.2,0.5,0.1,-,6.97
Pablo Daniel Osvaldo,Espanyol,33,"AM(C),FW",22(2),1757,0.4,0.3,1.4,-,0.3,-,0.1,-,6.97
Martín Cáceres,Sevilla,32,"D(CLR),M(R)",24(1),2128,2.4,2.4,0.8,0.5,3.2,0.8,0.2,-,6.97
Abel Aguilar,Hercules,34,M(C),33(1),2871,3.3,2.9,1.8,0.1,1.6,1,0.2,-,6.97
Federico Fazio,Sevilla,32,D(C),17(2),1502,2.2,2.4,0.8,0.6,4.4,0.3,0.6,1,6.97
David Cortés,Hercules,39,D(R),34,3038,2.4,2.9,1.4,0.6,1.5,0.9,0.4,-,6.97
Gary Medel,Sevilla,31,"D(C),DMC",15,1306,2.9,3.1,1.9,0.1,0.9,0.6,0.3,-,6.97
Juan Calatayud,Hercules,39,GK,34,3049,-,-,0.1,-,1.7,0.1,-,-,6.96
José Callejón,Espanyol,32,M(LR),36(1),2967,1.5,1.2,1.5,0.1,0.3,0.6,-,-,6.96
Javi Varas,Sevilla,36,GK,19(2),1786,-,-,-,-,0.9,-,-,-,6.96
Javier Mascherano,Barcelona,35,"D(C),M(C)",18(9),1538,2.9,1.9,1,0.1,0.7,0.8,0.2,-,6.96
Miguel de las Cuevas,Sporting Gijon,33,M(CL),30(7),2505,1,1.4,0.7,-,0.3,0.4,0.1,-,6.95
Kennedy,Racing Santander,38,M(C),30(2),2374,1.4,2.2,1.3,-,0.5,0.3,0.1,-,6.95
Miguel Ángel Moyá,Valencia,35,GK,4,360,-,-,-,-,1,-,-,-,6.95
Claudio Bravo,Real Sociedad,36,GK,38,3420,-,0.1,-,-,1,0.1,-,-,6.95
Koikili,Athletic Bilbao,38,D(CL),16,1349,2.9,2.5,2.1,0.6,2.4,0.6,0.3,-,6.94
Pablo Piatti,Almeria,30,M(LR),34(1),2948,2.3,1.2,1.3,-,0.3,0.7,0.1,-,6.94
