Name,Team,Age,Position,Apps,Minutes,Tackles per game,Interceptions per game,Fouls per game,Offsides per game,Clearances per game,Dribbled past per game,Outfield blocks per game,Own goals,Rating
Jordy de Wijs,Excelsior,24,D(C),18(1),1654,1.1,2.1,1.1,0.2,8.3,0.4,1,1,6.95
Luis Orejuela,Ajax,23,Defender,0(1),45,4,1,2,-,-,-,-,-,6.95
Mimoun Mahi,FC Groningen,25,"AM(CLR),FW",23(3),2039,1,0.3,1.2,-,0.5,0.5,0.1,-,6.95
Thomas Ouwejan,AZ Alkmaar,22,D(L),30(1),2545,2.2,1.4,0.9,0.1,2.5,0.7,0.3,-,6.95
Ben Rienstra,Willem II,29,"D(C),M(C)",30,2682,1.7,1.1,1.5,0.1,1.5,1.3,0.2,-,6.94
Nicolas Isimat-Mirin,PSV Eindhoven,27,D(C),32,2877,0.8,1.5,1.2,0.7,5.3,0.3,0.8,-,6.94
Soufyan Ahannach,Sparta Rotterdam,23,AM(L),12,933,1.3,0.8,0.5,-,1,0.8,0.2,-,6.94
Amir Absalem,FC Groningen,22,D(L),6(2),551,2.9,1.4,1.1,-,2.3,0.9,0.5,-,6.94
Robin Pröpper,Heracles,25,"D(C),DMC",25(1),2204,1.5,1.1,1.3,0.4,5.2,0.8,1.1,-,6.94
Jens Toornstra,Feyenoord,30,AM(CLR),26(6),2297,0.7,0.6,0.9,-,0.3,0.8,-,-,6.94
Arno Verschueren,NAC Breda,22,"D(R),DMC",26,2180,2.9,2.6,2,-,3.3,1.6,0.5,-,6.93
Simon Gustafson,Roda,24,AM(C),33,2942,1.1,0.6,0.7,-,0.3,1.1,0.1,-,6.93
Bartholomew Ogbeche,Willem II,34,"AM(LR),FW",13(7),1216,1.1,0.2,1.2,-,0.6,0.4,0.1,-,6.93
Thulani Serero,Vitesse,29,DMC,28(1),2329,1.8,2.1,0.5,-,0.4,1,0.1,-,6.92
Daniel Høegh,SC Heerenveen,28,D(C),34,3060,1.5,1.3,0.8,0.8,5.4,0.6,0.7,1,6.92
Robert Zwinkels,ADO Den Haag,36,GK,29,2563,0.1,-,-,-,1,0.1,-,-,6.91
