Name,Team,Age,Position,Apps,Minutes,Total goals,Total Assists,Shots per game,Key passes per game,Dribbles per game,Fouled per game,Offsides per game,Dispossessed per game,Bad control per game,Rating
Per Skjelbred,Hertha Berlin,32,M(CR),25(1),2144,-,-,0.2,0.2,0.5,1,-,0.3,0.6,6.83
Daniel Caligiuri,Wolfsburg,31,"D(R),M(LR),FW",13(3),1112,2,1,1.3,0.6,0.9,1.4,0.1,1.7,1.4,6.83
Jhon Córdoba,Mainz 05,26,FW,27(2),2356,5,3,2,0.6,1.6,3.2,1.6,3.3,3,6.83
Romain Brégerie,Ingolstadt,32,"D(C),DMC",17,1527,3,-,0.8,0.4,0.3,0.5,-,0.1,0.3,6.83
Ermin Bicakcic,Hoffenheim,29,D(C),11(7),1052,1,-,0.5,0.3,0.1,0.8,-,0.2,0.3,6.83
Kingsley Coman,Bayern Munich,23,"AM(LR),FW",10(9),917,2,1,1.2,1.1,1.5,0.9,0.2,0.9,0.9,6.83
Darío Lezcano,Ingolstadt,29,FW,27(6),2519,6,3,1.8,0.9,1,4.1,0.9,2.4,3.5,6.82
Paul Verhaegh,Augsburg,35,"D(R),M(R)",31,2765,3,2,0.3,0.4,0.3,0.8,-,0.3,0.6,6.82
Shinji Kagawa,Borussia Dortmund,30,M(CL),13(8),1259,1,6,1,1.7,0.9,1.2,0.1,0.9,1.5,6.82
Mijat Gacinovic,Eintracht Frankfurt,24,M(CLR),26(2),2234,2,-,1,0.5,1,2.5,0.2,0.8,1.2,6.82
Heinz Lindner,Eintracht Frankfurt,28,GK,1(1),174,-,-,-,-,-,0.5,-,-,-,6.82
Douglas Santos,Hamburger SV,25,"D(L),M(L)",19(1),1712,-,-,0.4,0.6,0.5,0.5,0.1,0.4,1.1,6.81
Florian Niederlechner,Freiburg,28,"AM(CR),FW",29(5),2424,11,2,2.3,0.5,1.4,1.5,0.6,1.5,1.6,6.81
Coke,Schalke 04,32,"D(CLR),M(R)",7(1),629,1,-,1,1.3,0.6,2.3,-,0.6,1.4,6.81
Ralf Fährmann,Schalke 04,30,GK,34,3060,-,-,-,-,-,0.3,-,-,-,6.80
Matthias Ginter,Borussia Dortmund,25,"D(CR),DMC",26(3),2475,-,1,0.7,0.3,0.3,0.9,0.1,0.2,0.3,6.80
Erik Durm,Borussia Dortmund,27,"D(LR),M(LR)",10(3),976,-,2,0.7,1.2,0.5,1.1,0.2,0.8,1.2,6.80
Marc-Oliver Kempf,Freiburg,24,D(C),12(1),1146,-,-,0.2,0.3,0.4,1.2,0.1,0.3,0.5,6.80
Timo Horn,FC Cologne,26,GK,20,1800,-,-,-,0.1,-,0.2,-,-,-,6.80
Kevin Vogt,Hoffenheim,27,"D(CR),M(C)",30(1),2597,-,-,0.1,0.3,0.1,0.8,-,0.2,0.1,6.80
Holger Badstuber,Schalke 04,30,D(CL),10,864,-,-,0.1,0.4,0.2,0.4,-,0.3,0.3,6.79
Florian Grillitsch,Werder Bremen,23,"DMC,M(L)",21(2),1721,2,-,0.8,0.2,0.5,1.3,-,0.7,0.9,6.79
Neven Subotic,FC Cologne,30,D(C),9(3),887,-,-,0.2,-,0.1,0.5,0.1,0.2,0.2,6.79
Raphael Framberger,Augsburg,23,D(R),2(1),143,-,1,-,0.7,0.3,0.7,-,-,-,6.79
Daniel Brosinski,Mainz 05,30,"D(LR),M(LR)",27(2),2453,1,2,1.2,1.1,0.5,1.1,-,0.3,0.7,6.79
Dong-Won Ji,Augsburg,28,"AM(CLR),FW",24(10),2295,3,2,1.3,0.8,0.9,1.2,0.2,0.8,1.3,6.79
Matija Nastasic,Schalke 04,26,D(C),21(1),1921,-,-,0.1,0.1,0.1,0.4,-,0.1,0.3,6.78
Benno Schmitz,RasenBallsport Leipzig,24,D(CR),11(5),990,-,2,0.6,0.5,0.1,0.6,0.1,0.3,0.4,6.77
André Ramalho,Mainz 05,27,"D(C),DMC",12(6),1134,-,-,0.7,0.2,0.4,0.8,-,0.2,0.5,6.77
Tony Jantschke,Borussia M.Gladbach,29,"D(CR),DMC",17(5),1488,-,-,0.1,0.1,0.1,1.5,-,0.2,0.2,6.77
Christian Clemens,FC Cologne,27,M(LR),10(2),793,1,1,0.9,0.4,1,0.8,-,0.8,1.4,6.77
Maximilian Arnold,Wolfsburg,25,M(CR),28(4),2425,2,3,1.5,1,0.6,2.8,-,0.9,0.8,6.76
Levin Öztunali,Mainz 05,23,AM(CLR),23(7),1974,5,6,1,1.1,1,0.8,0.2,1.6,1.8,6.76
Jeffrey Bruma,Wolfsburg,27,D(C),20,1718,1,-,0.6,0.3,0.2,0.4,0.1,0.2,0.2,6.76
Alexander Meier,Eintracht Frankfurt,36,"M(C),FW",15(6),1396,5,2,2,0.5,0.4,0.4,0.7,0.3,0.8,6.76
