Name,Team,Age,Position,Apps,Minutes,Tackles per game,Interceptions per game,Fouls per game,Offsides per game,Clearances per game,Dribbled past per game,Outfield blocks per game,Own goals,Rating
Max Meyer,Schalke 04,23,"M(CL),FW",27(5),2324,0.4,0.7,0.6,-,0.1,0.4,0.1,-,6.81
Ceyhun Gülselam,Hannover 96,31,M(C),9(4),828,2.8,1.8,2.3,0.1,2.4,1.2,0.2,-,6.81
Bas Dost,Wolfsburg,30,FW,14(8),1368,0.1,0.1,0.7,-,0.7,0.2,-,-,6.81
Niko Bungert,Mainz 05,32,D(C),20(1),1747,1.1,2.3,0.8,0.9,3.4,0.4,0.6,-,6.81
Max Kruse,Wolfsburg,31,"M(CLR),FW",28(4),2427,0.3,0.3,0.6,-,-,0.4,-,-,6.80
Jeffrey Gouweleeuw,Augsburg,27,D(C),11,990,1.8,2.1,1.5,0.6,5.9,0.7,1,-,6.80
Manuel Schmiedebach,Hannover 96,30,M(C),22,1810,2.1,2.8,1.7,-,0.7,2.6,0.3,-,6.80
Luiz Gustavo,Wolfsburg,31,"D(C),M(C)",22,1810,2.1,2,1.9,-,0.7,0.8,-,-,6.80
Fin Bartels,Werder Bremen,32,"M(CLR),FW",22(8),2070,1,1.1,0.5,-,0.1,0.9,0.1,-,6.80
Kyriakos Papadopoulos,Bayer Leverkusen,27,D(C),10(6),935,1.8,1.8,0.9,0.3,3.8,0.8,0.8,-,6.80
Joshua Kimmich,Bayern Munich,24,"D(CR),DMC",15(8),1423,1,1.1,0.5,0.4,0.5,0.7,0.1,-,6.79
Rune Jarstein,Hertha Berlin,34,GK,28(1),2565,-,-,-,-,0.8,0.1,-,-,6.79
Park Joo-Ho,Borussia Dortmund,32,"D(L),DMC",4(1),310,1.6,2.2,1.8,0.2,1.4,1.4,-,-,6.79
Daniel Brosinski,Mainz 05,30,"D(LR),M(LR)",24(6),2243,1.6,1.2,0.5,0.2,2.3,0.5,0.2,-,6.79
Roman Neustädter,Schalke 04,31,"D(C),M(C)",26(4),2391,2,2.2,0.7,0.6,3.7,0.4,0.6,-,6.78
