Name,Team,Age,Position,Apps,Minutes,Tackles per game,Interceptions per game,Fouls per game,Offsides per game,Clearances per game,Dribbled past per game,Outfield blocks per game,Own goals,Rating
Anthony Réveillere,Lyon,39,D(LR),33,2970,1.6,1.8,1.5,0.6,2.4,0.3,0.2,-,6.82
Diacko Fofana,Nice,24,Defender,1,62,3,1,2,1,3,2,-,-,6.82
Morgan Amalfitano,Marseille,34,M(CLR),28(4),2466,1,1.2,1.4,-,0.4,0.2,0.1,-,6.82
Éric Bautheac,Dijon,31,AM(LR),28(6),2476,1.6,1,1.2,-,0.4,0.4,-,-,6.81
Zie Diabate,Dijon,30,D(C),12(2),1011,2.3,3.1,1.6,0.1,3.4,0.8,0.2,-,6.81
Nolan Roux,Brest,31,"AM(LR),FW",18,1562,0.6,0.2,1.2,-,0.8,0.1,0.2,-,6.81
Mathieu Bodmer,Paris Saint-Germain,36,"D(C),M(C)",21(10),2046,1.4,1.1,1.9,-,1,0.4,0.3,-,6.80
Mickaël Landreau,Lille,40,GK,38,3420,-,-,-,-,1,0.1,-,-,6.80
Omar Daf,Brest,42,D(CR),15(1),1302,3.3,1.7,1.8,0.4,4.2,0.4,0.3,-,6.80
Jacques-Alaixys Romao,Lorient,35,"D(C),M(C)",32,2869,2.5,2.5,2.8,0.3,2.2,0.6,0.3,-,6.79
Souleymane Camara,Montpellier,36,"M(R),FW",19(14),1934,0.4,0.7,0.6,-,0.3,0.1,-,-,6.79
Yacine Brahimi,Rennes,29,M(CLR),6(11),691,0.9,0.5,0.7,-,0.1,0.2,0.1,-,6.79
Aly Cissokho,Lyon,31,"D(L),M(L)",30(1),2670,2.2,1.4,1,0.3,2.7,0.3,0.3,2,6.79
Moussa Sow,Lille,33,"M(LR),FW",15(3),1326,0.3,0.3,0.9,0.1,0.1,0.1,0.1,-,6.79
Carlos Bocanegra,Saint-Etienne,40,D(C),1,90,3,1,-,-,5,1,-,-,6.79
Daisuke Matsui,Dijon,38,"AM(C),FW",2(1),137,1,1.7,1,-,0.3,-,-,-,6.79
Benjamin Stambouli,Montpellier,28,"D(C),M(C)",13(13),1332,1.7,1.8,0.9,-,2.5,0.7,0.3,-,6.79
Mathieu Peybernes,Sochaux,28,D(C),22(4),1952,1.9,1.7,0.6,1.1,9.2,0.4,0.6,-,6.79
Clément Chantôme,Paris Saint-Germain,31,M(C),8(7),833,1.6,1.4,1.2,-,0.7,0.5,0.5,-,6.79
Frédéric Bulot,Caen,28,AM(LR),35(3),3017,1.5,1.1,1.1,0.1,0.4,0.3,-,-,6.79
Bakary Koné,Lyon,31,D(C),25(3),2319,1.6,2.3,1.5,0.6,5.3,0.4,0.5,-,6.78
Tongo Doumbia,Rennes,29,M(C),19(6),1727,2.4,1.6,1.4,0.1,0.7,0.5,-,-,6.78
Dennis Oliech,Auxerre,34,"M(R),FW",29(4),2657,0.5,0.3,1.6,-,-,0.3,0.1,-,6.78
Fabien Lemoine,Saint-Etienne,32,M(C),24(3),2044,2.7,1.7,2.1,-,0.6,0.7,0.2,-,6.78
Cédric Carrasso,Bordeaux,37,GK,37,3316,-,0.1,0.1,-,1.1,-,-,-,6.78
Yoann Gourcuff,Lyon,32,M(CL),10(3),813,1.2,0.5,1.5,-,0.1,0.5,0.1,-,6.78
Benjamin André,AC Ajaccio,28,"D(R),M(CLR)",30(3),2656,2.2,1.5,1.9,-,1.6,0.6,-,-,6.78
Gaëtan Bong,Valenciennes,31,D(L),27(1),2401,2.7,1.4,1.3,0.4,2.5,0.6,0.2,-,6.78
