Team,Name,Blocked shots,Errors lead to goal,Clearances,Interceptions,Tackles,Rating
Malaga,Diego Gonzalez,10,0,65,19,27,6.67
Malaga,Manuel Iturra,2,0,20,29,70,6.67
Las Palmas,David Simón,4,0,9,22,24,6.66
Barcelona,Aleix Vidal,0,0,1,9,6,6.66
Leganes,Darko Brašanac,3,0,11,14,32,6.66
Valencia,Andreas Pereira,1,0,5,11,26,6.66
Malaga,Mehdi Lacen,1,0,12,15,38,6.66
Las Palmas,Dani Castellano,7,0,51,42,46,6.65
Las Palmas,Matías Aguirregaray,1,0,20,24,26,6.65
Deportivo Alaves,Daniel Torres,7,0,31,19,19,6.65
Eibar,Papakouli Diop,2,0,14,19,31,6.65
Levante,Hacen,2,0,0,1,0,6.65
Deportivo La Coruna,Mujaid Sadick,2,0,4,1,4,6.65
Deportivo La Coruna,Eneko Bóveda,7,2,45,30,36,6.65
Deportivo Alaves,Bojan Krkić,0,0,0,3,2,6.65
Deportivo La Coruna,Federico Valverde,1,0,14,21,25,6.64
Deportivo Alaves,Alfonso Pedraza,5,0,19,32,57,6.64
Eibar,Takashi Inui,0,0,5,18,39,6.64
Sevilla,Guilherme Arana,0,0,7,5,4,6.63
Villarreal,Chuca,1,1,1,1,1,6.63
Espanyol,José Jurado,1,0,2,16,18,6.63
Villarreal,Roberto Soriano,0,0,8,4,30,6.63
Leganes,Javier Eraso,5,0,11,23,32,6.63
Getafe,Mauro Arambarri,3,0,32,25,56,6.62
Real Sociedad,Álvaro Odriozola,7,0,35,26,41,6.62
Levante,Saša Lukić,6,0,12,17,21,6.62
Levante,Jason,1,0,6,20,32,6.62
Las Palmas,Hernán,0,0,4,8,18,6.62
Real Sociedad,Gerónimo Rulli,0,2,17,0,2,6.62
Leganes,José Naranjo,1,0,2,3,17,6.62
Leganes,Claudio Beauvue,0,0,16,2,5,6.61
Leganes,Gerard Gumbau,4,0,26,14,35,6.61
Athletic Bilbao,Mikel Vesga,3,0,14,8,17,6.61
Las Palmas,Raúl Lizoain,0,1,4,1,1,6.61
Girona,Olarenwaju Kayode,0,0,0,1,3,6.61
Villarreal,Javi Fuego,9,0,33,23,52,6.61
Espanyol,Óscar Melendo,0,0,3,3,2,6.61
Leganes,Omar Ramos,1,0,12,14,22,6.60
Girona,Marlos Moreno,0,0,0,0,1,6.60
Barcelona,José Manuel Arnáiz,0,0,0,0,1,6.60
Deportivo Alaves,Óscar Romero,0,0,2,3,5,6.60
Real Betis,Matías Nahuel,0,0,1,2,4,6.60
Villarreal,Leonardo Suárez,0,0,1,0,0,6.60
Real Sociedad,Jon Bautista,0,0,0,0,0,6.60
Levante,Aly Abeid,0,0,2,3,2,6.60
Atletico Madrid,Carlos Isaac,0,0,1,2,1,6.60
Las Palmas,Erik Expósito,0,0,5,1,1,6.60
Getafe,David Alba,0,0,7,0,1,6.60
Getafe,Alberto Redondo,1,0,1,0,4,6.60
Malaga,Alberto Lopez,0,0,2,2,1,6.60
Leganes,Sergio Arribas,0,0,0,1,2,6.60
Valencia,Ferrán Torres,0,0,1,3,8,6.60
Malaga,Maxime Lestienne,1,0,4,6,8,6.60
Celta Vigo,Nemanja Radoja,2,0,11,10,18,6.60
Getafe,Gaku Shibasaki,1,0,7,19,21,6.60
Real Betis,Rubén Castro,0,0,1,0,1,6.59
Deportivo Alaves,Christian Santos,1,0,9,2,2,6.59
Getafe,Francisco Portillo,1,0,15,22,38,6.59
