Team,Name,Key passes,Accurate passes percentage,Accurate passes,Assists,Big chances created,Rating
Malaga,Pablo Fornals,37,78,1072,2,2,6.83
Atletico Madrid,Tiago,2,87,286,0,0,6.83
Leganes,Unai Bustinza,8,74,526,1,1,6.82
Granada,Sverrir Ingi Ingason,3,81,460,0,0,6.82
Celta Vigo,Giuseppe Rossi,11,81,186,1,1,6.82
Athletic Bilbao,Mikel San José,15,76,945,1,3,6.82
Osasuna,Oriol Riera,20,63,306,1,1,6.82
Sporting Gijon,Jorge Meré,3,82,902,0,0,6.82
Atletico Madrid,Fernando Torres,20,64,191,5,6,6.82
Granada,Guillermo Ochoa,2,55,637,0,0,6.82
Real Sociedad,Jon Bautista,0,67,40,0,0,6.82
Real Betis,Antonio Adán,0,53,609,0,0,6.82
Deportivo La Coruna,Juanfran,49,74,934,6,5,6.82
Celta Vigo,Jozabed Sánchez,17,82,508,2,2,6.82
Eibar,Kike,12,68,266,1,1,6.82
Eibar,Yoel Rodríguez,2,45,306,0,0,6.82
Deportivo La Coruna,Álex Bergantiños,4,86,249,0,0,6.81
Valencia,Martín Montoya,13,82,852,1,1,6.81
Celta Vigo,Sergi Gómez,3,84,951,0,0,6.80
Valencia,Shkodran Mustafi,0,74,25,0,0,6.80
Real Sociedad,Igor Zubeldia,1,89,133,0,0,6.80
Celta Vigo,Rubén Blanco,0,48,143,0,0,6.80
Valencia,Jaume Doménech,0,67,57,0,0,6.80
Eibar,Markel Areitio,0,38,8,0,0,6.80
Sporting Gijon,Sergio Álvarez,20,79,1125,1,2,6.80
Deportivo Alaves,Kiko Femenia,20,83,968,2,5,6.80
Las Palmas,Vicente Gómez,12,90,1262,0,0,6.80
Las Palmas,Dani Castellano,12,89,911,1,1,6.80
Valencia,Munir El Haddadi,24,79,567,3,2,6.79
Real Sociedad,Esteban Granero,15,84,354,1,1,6.79
Real Betis,Álex Alegría,8,69,275,2,2,6.79
Malaga,Martín Demichelis,1,80,266,0,0,6.79
Las Palmas,Alen Halilović,14,80,261,2,1,6.79
Real Sociedad,Gerónimo Rulli,2,73,1019,0,1,6.79
Deportivo La Coruna,Florin Andone,16,67,290,2,1,6.79
Celta Vigo,Nemanja Radoja,9,87,1134,0,2,6.78
Real Betis,Joaquín,35,84,637,4,1,6.78
Real Sociedad,Joseba Zaldúa,10,78,347,1,0,6.78
Espanyol,Óscar Duarte,2,81,395,0,1,6.78
Villarreal,Nicola Sansone,20,78,400,3,3,6.78
Valencia,Toni Lato,5,81,167,1,2,6.78
Sevilla,Hiroshi Kiyotake,6,80,105,2,2,6.78
Leganes,Nereo Champagne,0,40,57,0,0,6.78
Las Palmas,Mateo García,10,79,190,0,0,6.78
Valencia,Fabián Orellana,28,81,606,3,3,6.77
Deportivo Alaves,Christian Santos,6,65,168,1,2,6.77
Sporting Gijon,Iván Cuéllar,1,48,509,0,0,6.77
Leganes,Erik Morán,7,77,337,1,1,6.77
Malaga,José Rodríguez,7,83,192,0,0,6.77
Osasuna,Didier Digard,1,67,55,0,0,6.77
Celta Vigo,Jonny Castro,17,83,1003,3,3,6.77
Valencia,Santi Mina,18,75,377,2,1,6.76
Malaga,Juankar,24,73,595,4,4,6.76
Eibar,Takashi Inui,22,80,486,2,2,6.76
Osasuna,Kenan Kodro,12,75,355,1,0,6.76
Valencia,João Cancelo,24,73,723,4,3,6.76
Malaga,Carlos Kameni,1,55,453,0,0,6.76
Sporting Gijon,Burgui,32,72,461,4,4,6.76
Sporting Gijon,Akram Afif,5,77,68,0,1,6.76
Espanyol,Javi Fuego,6,81,1036,0,1,6.76
Athletic Bilbao,Gorka Iraizoz,0,58,311,0,0,6.76
Las Palmas,Tana,44,86,1043,4,3,6.76
Deportivo Alaves,Daniel Torres,5,83,564,0,0,6.76
Deportivo La Coruna,Fernando Navarro,13,76,605,0,0,6.75
Sevilla,Carlos Fernández Luna,0,60,6,0,0,6.75
Sporting Gijon,Diego Mariño,1,50,30,0,0,6.75
Real Betis,Antonio Sanabria,6,63,255,1,1,6.75
Granada,David Barral,4,69,68,1,3,6.75
Villarreal,Samu Castillejo,36,79,597,3,4,6.75
Sevilla,Gabriel Mercado,5,80,853,1,1,6.74
Leganes,Luciano,13,76,269,2,2,6.74
Sporting Gijon,Roberto Canella,14,72,391,1,1,6.74
Deportivo Alaves,Alexis Ruano,1,82,643,1,0,6.74
Celta Vigo,Claudio Beauvue,8,70,118,2,2,6.74
Osasuna,Imanol García,1,71,146,0,0,6.74
Eibar,Ander Capa,31,64,603,3,2,6.74
Sporting Gijon,Fernando Amorebieta,5,68,576,1,1,6.73
Espanyol,Marc Roca,7,84,629,1,1,6.73
Real Sociedad,Sergio Canales,35,85,511,4,5,6.73
Sevilla,Matías Kranevitter,3,91,609,0,0,6.73
Villarreal,Adrián López,8,74,215,1,0,6.73
Osasuna,Sergio León,7,70,208,0,1,6.73
Leganes,Samu García,6,69,141,1,0,6.73
Las Palmas,Javi Castellano,1,95,79,0,0,6.73
Real Betis,Fabián Ruiz,1,82,79,0,0,6.73
Real Betis,Ryan Donk,5,77,254,1,2,6.73
Real Betis,Riza Durmisi,48,76,612,4,5,6.72
Deportivo La Coruna,Ryan Babel,3,80,133,1,1,6.72
Athletic Bilbao,Mikel Balenziaga,19,77,790,1,2,6.72
Granada,Andreas Pereira,53,76,846,3,5,6.72
Granada,Rene Krhin,3,85,364,0,0,6.72
Osasuna,David García,2,69,481,0,0,6.72
Athletic Bilbao,Óscar de Marcos,24,78,846,4,5,6.72
Eibar,Gonzalo Escalante,8,76,635,1,0,6.71
Real Sociedad,Mikel Oyarzabal,34,75,792,7,8,6.71
Athletic Bilbao,Kepa Arrizabalaga,1,61,439,0,0,6.71
Athletic Bilbao,Markel Susaeta,28,77,326,2,3,6.71
Malaga,Chori Castro,39,75,547,3,3,6.71
Granada,Rubén Vezo,7,77,532,1,0,6.71
Espanyol,Aarón Martin Caricol,21,77,806,0,0,6.71
Celta Vigo,Hugo Mallo,11,73,693,1,0,6.71
Valencia,Carlos Soler,20,86,682,1,3,6.71
Deportivo La Coruna,Germán Lux,0,50,323,0,0,6.71
Barcelona,André Gomes,12,88,866,1,1,6.71
Real Betis,Alin Toșca,1,79,442,0,0,6.71
Las Palmas,Marko Livaja,21,71,233,3,2,6.70
Leganes,Pablo Insua,2,76,489,0,0,6.70
Osasuna,Unai García,1,69,435,0,0,6.70
Sporting Gijon,Nacho Cases,10,82,562,1,1,6.70
Sevilla,Joaquín Correa,12,83,388,0,1,6.70
Deportivo Alaves,Aleksandar Katai,15,75,170,3,3,6.70
Atletico Madrid,Alessio Cerci,0,50,2,0,0,6.70
Deportivo Alaves,Rubén Sobrino,3,78,98,1,1,6.70
Valencia,Álvaro Medrán,9,84,476,0,1,6.70
Granada,Juanan Entrena,0,81,17,0,0,6.70
Osasuna,Javi Alamo,0,0,0,0,0,6.70
Deportivo La Coruna,Luisinho,12,76,529,2,1,6.70
Real Betis,Álvaro Cejudo,12,78,268,1,1,6.70
Celta Vigo,Pablo Hernández,10,80,921,0,1,6.70
Celta Vigo,Sergio Álvarez,1,53,445,1,1,6.70
Granada,Artem Kravets,11,73,264,2,2,6.70
Granada,Uche Agbo,25,85,1116,0,0,6.69
Celta Vigo,Pione Sisto,14,84,481,3,2,6.69
Athletic Bilbao,Íñigo Lekue,15,77,447,1,0,6.69
Granada,David Lombán,4,79,605,0,0,6.69
Granada,Victorien Angban,7,89,355,0,0,6.69
Barcelona,Denis Suárez,16,86,615,3,3,6.69
Athletic Bilbao,Ander Iturraspe,11,85,617,1,1,6.68
Athletic Bilbao,Sabin Merino,3,70,69,1,0,6.68
Real Betis,José Carlos Ramírez,1,67,161,0,0,6.68
Las Palmas,David Simón,14,83,521,1,1,6.68
Osasuna,Goran Čaušić,14,81,649,2,1,6.68
Deportivo La Coruna,Fayçal Fajr,24,81,484,2,1,6.68
Valencia,Zakaria Bakkali,11,85,91,0,1,6.68
Sporting Gijon,Lacina Traoré,5,49,51,0,0,6.68
Real Madrid,Mariano Díaz,5,82,9,1,0,6.68
Athletic Bilbao,Mikel Rico,4,82,215,0,1,6.67
Valencia,Diego Alves,1,53,520,0,1,6.67
Malaga,Federico Ricca,11,74,524,1,1,6.67
Malaga,Bakary Koné,1,76,207,0,0,6.67
Leganes,Iago Herrerín,0,37,256,0,0,6.67
Leganes,Alberto Bueno,20,77,275,3,3,6.67
Atletico Madrid,Ángel Correa,24,75,353,8,6,6.67
Celta Vigo,John Guidetti,14,73,197,1,1,6.67
Valencia,Aymen Abdennour,2,84,284,0,0,6.67
Villarreal,Antonio Rukavina,2,72,83,0,0,6.67
Eibar,Nano Mesa,2,66,21,0,0,6.67
Villarreal,Alexandre Pato,7,69,141,1,0,6.66
Sporting Gijon,Víctor Rodríguez,23,76,382,1,0,6.66
Sporting Gijon,Carlos Carmona,26,70,558,2,0,6.66
Celta Vigo,Marcelo Díaz,15,88,1001,2,0,6.66
Leganes,Miguel Ángel Guerrero,19,76,450,1,2,6.66
Leganes,Víctor Díaz,11,68,516,1,1,6.66
Osasuna,Fausto Tienza,6,73,307,0,1,6.66
Malaga,Michael Santos,9,70,81,0,1,6.65
Las Palmas,Raúl Lizoain,0,75,298,0,0,6.65
Sporting Gijon,Borja Viguera,8,66,150,1,1,6.65
Athletic Bilbao,Iñaki Williams,39,68,526,6,2,6.65
Real Betis,Charly Musonda Jr,8,78,65,1,1,6.65
Valencia,Mathew Ryan,0,77,47,0,0,6.65
Deportivo Alaves,Aleksandar Pantić,0,65,24,0,0,6.65
