Team,Name,Goal conversion percentage,Total shots,Successful dribbles,Big chances missed,Goals,Rating
Eibar,Josip Radošević,0,1,2,0,0,6.72
Real Betis,Vincenzo Rennella,50,2,0,0,1,6.72
Celta Vigo,John Guidetti,28,25,8,7,7,6.71
Valencia,Sofiane Feghouli,6,16,12,2,1,6.71
Villarreal,Daniele Bonera,0,2,0,0,0,6.71
Malaga,Adnane Tighadouini,10,10,9,0,1,6.71
Deportivo La Coruna,Alberto Lopo,0,4,0,1,0,6.71
Eibar,Asier Riesgo,0,0,0,0,0,6.71
Real Betis,Álvaro Cejudo,4,26,40,0,1,6.71
Valencia,Guilherme Siqueira,0,4,17,0,0,6.71
Atletico Madrid,Óliver Torres,0,6,13,1,0,6.71
Getafe,Moi Gómez,15,13,14,0,2,6.70
Getafe,Stefan Šćepović,24,25,3,8,6,6.70
Sevilla,Marco Andreolli,0,3,0,0,0,6.70
Deportivo La Coruna,Oriol Riera,11,19,4,2,2,6.70
Real Betis,Jorge Molina,7,14,3,2,1,6.70
Eibar,Eddy Silvestre,0,2,0,0,0,6.70
Rayo Vallecano,Tito,14,7,9,0,1,6.70
Villarreal,Bojan Jokić,0,0,1,0,0,6.70
Sevilla,David Carmona,0,0,0,0,0,6.70
Eibar,Mikel Arruabarrena,100,1,0,0,1,6.70
Atletico Madrid,Nacho Monsalve,0,0,0,0,0,6.70
Getafe,Ian Gonzalez Nieto,0,1,0,1,0,6.70
Levante,Mauricio Cuero,0,7,16,1,0,6.70
Athletic Bilbao,Kike Sola,0,0,0,0,0,6.70
Sevilla,Diego Gonzalez,50,2,0,0,1,6.70
Levante,Juanfran,0,2,9,0,0,6.70
Las Palmas,Hernán,17,6,4,0,1,6.69
Eibar,Adrián González,16,32,5,3,5,6.69
Malaga,Pablo Fornals,7,15,12,1,1,6.69
Sporting Gijon,Isma López,13,16,20,1,2,6.69
Granada,Andrés Fernández,0,0,1,0,0,6.69
Deportivo La Coruna,Juanfran,7,14,15,0,1,6.69
Getafe,Víctor Rodríguez,6,32,23,2,2,6.68
Real Madrid,Borja Mayoral,0,3,2,0,0,6.68
Real Sociedad,Sergio Canales,0,16,3,1,0,6.68
Eibar,Simone Verdi,0,3,3,0,0,6.68
Deportivo La Coruna,Luisinho,0,6,20,0,0,6.68
Granada,Nico López,0,2,5,0,0,6.68
Malaga,Roque Santa Cruz,50,4,0,1,2,6.68
Eibar,Xabier Irureta,0,0,0,0,0,6.68
Sporting Gijon,Omar Mascarell,0,9,5,0,0,6.67
Granada,Cristiano Biraghi,0,10,10,0,0,6.67
Malaga,Arthur Boka,0,5,13,1,0,6.67
Sporting Gijon,Miguel Ángel Guerrero,11,18,8,5,2,6.67
Getafe,Bernard Mensah,0,2,6,0,0,6.67
Las Palmas,Angel,0,0,0,0,0,6.67
Espanyol,Javi López,0,3,20,0,0,6.66
Espanyol,Salva Sevilla,14,7,1,2,1,6.66
Sevilla,José Antonio Reyes,8,13,19,1,1,6.66
Getafe,Álvaro Vázquez,12,43,10,15,5,6.66
Villarreal,Léo Baptistão,11,28,22,7,3,6.66
Getafe,Pedro León,6,36,46,3,2,6.66
Rayo Vallecano,Yoel Rodríguez,0,0,0,0,0,6.66
Levante,David Navarro,0,7,1,0,0,6.66
Getafe,Damián Suárez,0,7,16,0,0,6.65
Sevilla,Diogo Figueiras,0,0,2,0,0,6.65
Getafe,Henok Goitom,0,4,0,0,0,6.65
Las Palmas,Nili,0,4,4,0,0,6.65
Sporting Gijon,Carlos Castro,39,18,9,5,7,6.65
Granada,Javi Marquez,0,11,4,0,0,6.65
Espanyol,Pau López,0,0,0,0,0,6.65
Valencia,Santi Mina,20,20,20,4,4,6.64
Athletic Bilbao,Sabin Merino,20,25,8,2,5,6.64
Valencia,Antonio Barragán,0,0,6,0,0,6.64
Rayo Vallecano,Toño,0,0,0,0,0,6.64
Sporting Gijon,Álex Menéndez,17,12,17,1,2,6.64
Sevilla,Ciro Immobile,18,11,1,3,2,6.64
Rayo Vallecano,Piti,12,17,15,1,2,6.64
Espanyol,Enzo Roco,20,10,5,2,2,6.64
Deportivo La Coruna,Cani,0,8,10,1,0,6.64
Real Betis,Dani Giménez,0,0,0,0,0,6.63
Sporting Gijon,Nacho Cases,6,16,5,0,1,6.63
Levante,Rubén García,9,11,18,0,1,6.63
Espanyol,Juan Rafael Fuentes,0,1,2,0,0,6.63
Las Palmas,David Simón,10,10,12,2,1,6.63
Real Betis,Didier Digard,0,1,1,0,0,6.63
Eibar,Takashi Inui,11,27,17,5,3,6.63
Sevilla,Beto,0,0,0,0,0,6.63
Sporting Gijon,Juan Muñiz,0,0,3,0,0,6.63
Levante,Víctor Camarasa,9,23,17,1,2,6.62
Levante,Pedro López,25,4,16,0,1,6.62
Levante,Ivan Lopez,0,4,16,0,0,6.62
Athletic Bilbao,Gorka Elustondo,33,3,2,0,1,6.62
Valencia,André Gomes,11,28,52,4,3,6.62
Granada,Isaac Success,14,44,66,7,6,6.61
Rayo Vallecano,Antonio Amaya,33,3,4,0,1,6.61
Las Palmas,Nauzet Aleman,0,3,1,1,0,6.61
Celta Vigo,Theo Bongonda,13,16,28,3,2,6.61
Sevilla,Coke,4,24,17,3,1,6.61
Espanyol,José Alberto Cañas,0,0,0,0,0,6.61
Sporting Gijon,Jony,12,42,54,2,5,6.60
Granada,Uche Agbo,0,0,1,0,0,6.60
Getafe,Karim Yoda,0,5,51,1,0,6.60
Deportivo La Coruna,Manuel Pablo,0,1,0,0,0,6.60
Real Madrid,Marcos Llorente,0,0,0,0,0,6.60
Malaga,Hachim Mastour,0,0,0,0,0,6.60
Real Betis,Rafael van der Vaart,0,5,0,0,0,6.60
Sporting Gijon,Alberto Guitian,0,0,0,0,0,6.60
Valencia,Sito,0,0,1,0,0,6.60
Sporting Gijon,Alex Barrera,0,1,0,0,0,6.60
Eibar,Lillo Castellano,0,4,1,1,0,6.60
Levante,Roger,0,17,6,3,0,6.60
Eibar,Ion Ansotegi,0,4,0,0,0,6.60
Deportivo La Coruna,Laure,0,1,3,0,0,6.60
Getafe,Álvaro Medrán,8,24,11,0,2,6.59
Real Betis,Francisco Portillo,0,4,18,0,0,6.59
Celta Vigo,Rubén Blanco,0,0,0,0,0,6.59
Rayo Vallecano,Raúl Baena,13,8,6,3,1,6.59
Las Palmas,Juan Carlos Valerón,0,1,5,0,0,6.58
Getafe,Emiliano Buendia,8,12,12,1,1,6.58
Espanyol,Hernán Pérez,21,34,72,6,7,6.58
Getafe,Wanderson,0,13,29,0,0,6.58
Celta Vigo,Borja Fernández,0,0,3,0,0,6.58
Villarreal,Samu Castillejo,7,15,37,2,1,6.57
Granada,David Barral,0,11,1,1,0,6.57
Malaga,Juanpi Añor,20,20,34,3,4,6.57
Real Betis,Leandro Damião,0,3,0,1,0,6.57
Atletico Madrid,Matías Kranevitter,0,0,0,0,0,6.56
Sevilla,Juan Muñoz,17,6,2,1,1,6.56
Espanyol,Mamadou Sylla,0,5,5,1,0,6.56
Barcelona,Sandro Ramírez,0,7,3,4,0,6.56
Valencia,Pablo Piatti,0,10,12,3,0,6.55
Las Palmas,Nabil El Zhar,9,22,14,0,2,6.55
Rayo Vallecano,Adrian Embarba,6,34,24,3,2,6.55
Real Sociedad,Héctor Hernández,0,2,3,0,0,6.54
Rayo Vallecano,Nacho Martinez,0,11,2,0,0,6.54
Levante,Rubén Martínez,0,0,0,0,0,6.54
Celta Vigo,Pape Cheikh,0,0,2,0,0,6.54
Granada,Dimitri Foulquier,25,4,20,0,1,6.54
Levante,Angel Trujillo,0,2,1,0,0,6.54
Rayo Vallecano,Manuel Iturra,0,0,1,0,0,6.53
Malaga,Ikechukwu Uche,0,1,0,0,0,6.53
Levante,Toño,0,8,47,0,0,6.53
Real Betis,Foued Kadir,0,5,4,0,0,6.53
Deportivo La Coruna,Jonathan Rodriguez,0,15,5,3,0,6.53
Athletic Bilbao,Borja Viguera,0,5,4,2,0,6.52
Getafe,Carlos Vigaray,25,4,8,0,1,6.52
Deportivo La Coruna,Juan Dominguez,0,2,1,0,0,6.52
Sporting Gijon,Pablo Pérez,0,14,4,2,0,6.52
Real Betis,Xavi Torres,0,6,2,1,0,6.52
Espanyol,Paco Montañés,0,4,2,0,0,6.51
Celta Vigo,Claudio Beauvue,10,10,6,1,1,6.51
Malaga,Ricardo Horta,0,11,7,3,0,6.50
Barcelona,Gerard Gumbau,0,0,0,0,0,6.50
Sevilla,Carlos Fernández Luna,0,0,0,0,0,6.50
Real Betis,Álvaro Vadillo,0,1,2,0,0,6.50
