"player_name","club_name","age","position","apps","mins","goals","assists","yellow_cards","red_cards","shots_per_goal","pass_accuracy","aerials_won","man_of_the_match","Field14"
"Djené Dakonam","Getafe,","27",",  D(C)","34","2981","-","-","11","2","0.4","71.9","2.6","3","6.81"
"Igor Zubeldia","Real Sociedad,","22",",  DMC","29(4)","2552","-","1","7","-","0.5","85.8","1.8","3","6.81"
"Marcelo","Real Madrid,","31",",  D(L)","21(2)","1841","2","2","6","-","1.5","83.5","0.3","1","6.81"
"Alejandro Catena","Rayo Vallecano,","24",",  Defender","2","177","-","-","1","-","1.5","85.9","3","-","6.81"
"Toni Villa","Real Valladolid,","24",",  AM(L)","21(5)","1774","2","2","3","-","1.3","78","0.1","1","6.80"
"Sergi Enrich","Eibar,","29",",  FW","30(5)","2593","7","4","4","-","1.9","71.5","5","2","6.80"
"Munir El Haddadi","Sevilla,","23",",  AM(LR),FW","12(4)","1045","5","1","2","-","2.1","74.2","1.1","1","6.80"
"Joseba Zaldua","Real Sociedad,","26",",  D(R)","25(1)","2142","1","2","7","-","0.2","77.4","1.8","-","6.80"
"Ramiro Funes Mori","Villarreal,","28",",  D(C),DMC","29(2)","2628","2","1","15","-","0.8","81","2.3","-","6.80"
"Manuel Morlanes","Villarreal,","20",",  M(C)","7(3)","611","-","3","2","-","0.3","84.1","1","1","6.80"
"Borja García","Girona,","28",",  AM(CL)","30(3)","2639","1","3","-","1","1","82.8","0.7","1","6.80"
"Dídac Vilá","Espanyol,","30",",  D(L)","27","2358","-","2","10","-","0.9","73.2","1.8","-","6.79"
"William Carvalho","Real Betis,","27",",  DMC","26(4)","2387","-","5","7","-","0.3","89","1.3","-","6.79"
"Sergi Guardiola","Real Valladolid,","28",",  FW","17","1516","3","1","-","-","2.7","65.6","2.6","-","6.79"
"David Juncà","Celta Vigo,","25",",  D(L)","21","1758","-","3","6","-","0.3","83.5","1.2","1","6.79"
"Gerard Moreno","Villarreal,","27",",  AM(C),FW","25(10)","2317","8","1","3","-","2","71.8","1.8","3","6.79"
"Abdoulaye Ba","Rayo Vallecano,","28",",  D(C)","25(1)","2113","1","-","4","2","0.3","82.4","2.7","1","6.78"
"Lucas Olaza","Celta Vigo,","24",",  D(L)","10","898","-","2","2","-","-","79.3","0.4","-","6.78"
"Nemanja Maksimovic","Getafe,","24",",  DMC","36","3211","1","-","5","-","0.9","75.6","2.3","-","6.78"
"Samuel Chukwueze","Villarreal,","20",",  AM(CR)","19(7)","1711","5","2","2","-","2.2","73.4","0.6","1","6.78"
"Mario Suárez","Rayo Vallecano,","32",",  M(C)","11(3)","1027","2","-","5","-","1.3","79.2","2.1","-","6.78"
"Marco Asensio","Real Madrid,","23",",  AM(CLR)","19(11)","1779","1","4","3","-","1.5","86.8","0.1","-","6.78"
"Kenneth Omeruo","Leganes,","25",",  D(C)","27(1)","2434","-","-","7","-","0.1","80.3","1.9","1","6.78"
"Sergi Darder","Espanyol,","25",",  DMC,M(L)","32(2)","2718","4","2","6","1","1.6","79.8","0.5","4","6.78"
"Raphael Varane","Real Madrid,","26",",  D(C)","31(1)","2757","2","-","-","1","0.6","89","2.9","-","6.78"
"Adrián Embarba","Rayo Vallecano,","27",",  AM(LR),FW","27(9)","2291","5","6","3","1","1.4","71.9","0.6","1","6.78"
"Cristian Tello","Real Betis,","27",",  M(LR)","13(16)","1560","4","6","4","-","1.2","85.5","0.1","1","6.78"
"Tomás Pina","Deportivo Alaves,","31",",  M(C)","27(1)","2343","2","-","13","-","0.4","82.8","2.1","1","6.77"
"Rubén Duarte","Deportivo Alaves,","23",",  D(L)","33","2777","-","-","10","1","0.7","67.2","1.6","-","6.77"
"Carlos Soler","Valencia,","22",",  M(CR)","27(4)","2466","2","6","9","-","1.3","79.5","0.8","1","6.77"
"Mikel Vesga","Leganes,","26",",  DMC","23(3)","2075","1","1","3","-","0.5","80.1","1.9","-","6.77"
"Bernardo Espinosa","Girona,","29",",  D(C)","31","2729","1","1","2","2","0.5","86","4.2","1","6.77"
"Vinícius Júnior","Real Madrid,","18",",  AM(L)","9(9)","864","2","-","-","-","2.3","76.1","0.1","-","6.77"
"Víctor Laguardia","Deportivo Alaves,","29",",  D(C)","36","3240","1","2","12","-","0.5","70.5","2.2","-","6.76"
"Raúl García","Girona,","30",",  D(CL)","10","854","-","1","1","-","0.5","73.2","1.5","-","6.76"
"Dani Ceballos","Real Madrid,","22",",  M(CL)","13(10)","1248","3","-","3","-","1","92.6","0.4","-","6.76"
"Mauro Arambarri","Getafe,","23",",  DMC","32(1)","2687","1","2","8","-","0.9","69.4","1.7","1","6.76"
"David Soria","Getafe,","26",",  GK","37","3330","-","-","-","-","-","40.4","0.3","2","6.76"
"Keylor Navas","Real Madrid,","32",",  GK","10","900","-","-","1","-","-","75","0.5","-","6.76"
"Jason","Levante,","24",",  M(R)","26(4)","2333","2","5","10","-","1.1","69.1","1.1","-","6.76"
"Juanpe","Girona,","28",",  D(C)","31(2)","2769","-","-","8","-","0.6","81.5","3.3","2","6.76"
"Jorge Pulido","SD Huesca,","28",",  D(C)","32","2790","3","3","9","2","0.6","75.4","2.3","-","6.75"
"Asier Illarramendi","Real Sociedad,","29",",  M(C)","20(3)","1822","1","1","8","-","0.6","84.9","1.3","-","6.75"
"Diego Llorente","Real Sociedad,","25",",  D(C),DMC","20(1)","1755","-","-","5","-","0.3","84.8","2.8","1","6.74"
"Álvaro Odriozola","Real Madrid,","23",",  D(R)","14","1180","-","2","2","-","0.1","90.6","0.1","-","6.74"
"Willian José","Real Sociedad,","27",",  FW","28(3)","2374","11","5","5","1","1.8","74.8","1.4","2","6.74"
"Brahim Díaz","Real Madrid,","19",",  AM(L)","5(4)","378","1","1","-","-","0.8","85.9","-","-","6.74"
"Christian Rivera","SD Huesca,","21",",  M(C)","19(3)","1694","2","-","2","-","0.6","79.5","1.1","1","6.74"
"Denis Cheryshev","Valencia,","28",",  AM(L),FW","19(8)","1709","2","2","2","-","1.2","69","1.3","-","6.74"
"Unai Bustinza","Leganes,","27",",  D(CR)","24(1)","2029","-","1","9","1","0.2","71.4","2.3","1","6.74"
"Fernando Pacheco","Deportivo Alaves,","27",",  GK","35","3150","-","-","3","-","-","52.4","0.3","2","6.74"
"Daniel Wass","Valencia,","30",",  D(LR),M(CLR)","26(6)","2356","1","3","4","-","0.9","78","1.3","-","6.74"
"Álex Moreno","Rayo Vallecano,","26",",  D(L),M(L)","36","3140","1","1","5","-","0.7","76.3","0.8","1","6.73"
"Néstor Araújo","Celta Vigo,","27",",  D(C)","30(2)","2682","3","-","1","1","0.4","86","2.2","1","6.73"
"Rodrigo Ely","Deportivo Alaves,","25",",  D(C)","5","431","-","-","1","-","0.4","71.3","5.2","-","6.73"
"Fernando Calero","Real Valladolid,","23",",  D(C)","35(1)","3130","1","-","7","-","0.3","83.6","1.9","1","6.73"
"Andrés Fernández","Villarreal,","32",",  GK","6","540","-","-","2","-","-","69","0.2","-","6.73"
