Team,Name,Accurate passing percentage,Assists,Tackles,Successful Dribbles,Goals,Rating
Rayo Vallecano,Bebé,73,6,39,50,3,6.80
Valencia,José Luis Gayà,82,0,56,10,0,6.79
Villarreal,Adrián López,68,4,3,11,4,6.79
Real Betis,Joaquín,79,5,26,47,1,6.79
Athletic Bilbao,Markel Susaeta,77,8,54,20,3,6.79
Sporting Gijon,Ognjen Vranješ,68,0,40,4,0,6.79
Las Palmas,Emmanuel Culio,85,1,18,10,0,6.79
Athletic Bilbao,Íñigo Lekue,76,0,49,13,1,6.79
Eibar,Saúl,65,4,33,19,4,6.79
Real Sociedad,Mikel Oyarzabal,72,1,20,13,6,6.79
Malaga,Christian Atsu,79,0,7,9,2,6.78
Celta Vigo,Nemanja Radoja,83,1,57,11,0,6.78
Sporting Gijon,Rachid Aït-Atmane,78,2,36,11,0,6.78
Atletico Madrid,Luciano Vietto,80,3,13,11,1,6.78
Barcelona,Arda Turan,92,3,25,9,2,6.78
Malaga,Duje Čop,68,3,27,8,7,6.78
Atletico Madrid,Ángel Correa,68,4,24,36,5,6.78
Real Sociedad,Joseba Zaldúa,69,0,31,7,0,6.78
Getafe,Mehdi Lacen,82,0,86,19,0,6.77
Rayo Vallecano,Quini,69,1,103,17,0,6.77
Athletic Bilbao,Gorka Iraizoz,56,0,0,0,0,6.77
Celta Vigo,Jonny Castro,83,4,82,29,1,6.77
Sporting Gijon,Carlos Carmona,74,3,52,14,2,6.77
Athletic Bilbao,Mikel Rico,76,1,26,4,1,6.77
Deportivo La Coruna,Miguel Cardoso,80,1,2,1,0,6.77
Las Palmas,Tana,84,4,29,25,5,6.77
Malaga,Juankar,76,2,21,12,1,6.77
Getafe,Vicente Guaita,44,0,1,1,0,6.76
Eibar,Mauro Dos Santos,67,1,51,8,0,6.76
Sporting Gijon,Alen Halilović,79,5,20,81,3,6.75
Celta Vigo,Carles Planas,77,2,61,2,0,6.75
Barcelona,Marc-André ter Stegen,83,0,0,0,0,6.75
Granada,Fran Rico,78,1,35,6,2,6.75
Rayo Vallecano,Pablo Hernández,77,4,35,26,3,6.75
Levante,Víctor Casadesús,70,1,13,7,3,6.75
Sevilla,Benoît Trémoulinas,76,3,24,6,0,6.75
Villarreal,Samu García,73,1,20,8,2,6.74
Rayo Vallecano,Manucho,65,1,13,1,4,6.74
Espanyol,Abraham González,80,1,23,2,1,6.74
Sevilla,Vitolo,75,4,46,46,2,6.74
Villarreal,Antonio Rukavina,79,0,28,5,0,6.74
Real Betis,Cristiano Piccini,78,0,43,24,0,6.74
Levante,José Luis Morales,72,5,45,70,7,6.74
Eibar,Antonio Luna,71,1,23,6,0,6.74
Celta Vigo,Sergio Álvarez,53,0,1,0,0,6.74
Getafe,Santiago Vergini,83,0,38,17,0,6.73
Real Betis,Ricky van Wolfswinkel,70,2,10,2,1,6.73
Levante,Simao Mate,76,0,45,8,1,6.73
Real Betis,Jordi Figueras,76,0,4,1,0,6.73
Getafe,Miguel Angel,85,0,5,1,0,6.73
Espanyol,Rubén Duarte,73,1,62,2,0,6.73
Eibar,Keko,71,3,77,41,3,6.73
Sevilla,Sebastián Cristóforo,86,1,60,8,0,6.73
Granada,Adalberto Peñaranda,76,3,32,29,5,6.73
Eibar,David Juncà,68,4,73,17,0,6.73
Eibar,Aleksandar Pantić,64,0,18,1,0,6.73
Granada,David Lombán,79,0,28,1,0,6.72
Real Betis,Francisco Varela,76,1,16,1,0,6.72
Las Palmas,Mubarak Wakaso,82,0,29,12,1,6.72
Deportivo La Coruna,Germán Lux,49,0,1,1,0,6.72
Real Betis,Dani Ceballos,81,2,70,52,0,6.72
Eibar,Josip Radošević,75,0,13,2,0,6.72
Real Betis,Vincenzo Rennella,58,0,2,0,1,6.72
Celta Vigo,John Guidetti,72,0,10,8,7,6.71
Valencia,Sofiane Feghouli,69,1,16,12,1,6.71
Villarreal,Daniele Bonera,86,0,10,0,0,6.71
Malaga,Adnane Tighadouini,74,0,6,9,1,6.71
Deportivo La Coruna,Alberto Lopo,79,0,11,0,0,6.71
Eibar,Asier Riesgo,41,0,1,0,0,6.71
Real Betis,Álvaro Cejudo,72,2,61,40,1,6.71
Valencia,Guilherme Siqueira,83,0,29,17,0,6.71
Atletico Madrid,Óliver Torres,80,2,22,13,0,6.71
Getafe,Moi Gómez,86,3,14,14,2,6.70
Getafe,Stefan Šćepović,69,1,8,3,6,6.70
Sevilla,Marco Andreolli,84,0,5,0,0,6.70
Deportivo La Coruna,Oriol Riera,65,0,3,4,2,6.70
Real Betis,Jorge Molina,64,1,10,3,1,6.70
Eibar,Eddy Silvestre,66,0,11,0,0,6.70
Rayo Vallecano,Tito,78,3,45,9,1,6.70
Villarreal,Bojan Jokić,69,0,4,1,0,6.70
Sevilla,David Carmona,63,0,9,0,0,6.70
