Team,Name,Accurate passing percentage,Assists,Tackles,Successful Dribbles,Goals,Rating
Lille Osc,Zeki Çelik,77,5,90,16,1,6.80
As Monaco,Georges-Kévin N'Koudou,73,0,2,1,0,6.80
Fc Nantes,Valentin Eysseric,81,0,1,3,1,6.80
Paris Saint Germain,Loic Mbe Soh,91,0,0,1,0,6.80
Montpellier,Bilal Boutobba,92,0,0,2,0,6.80
Stade Rennais,Hamari Traore,82,2,61,26,0,6.80
Guingamp,Lebogang Phiri,89,0,60,12,0,6.80
Bordeaux,Jules Kounde,81,1,48,13,0,6.79
Dijon,Wesley Lautoa,86,0,81,13,0,6.79
Angers,Pierrick Capelle,84,3,51,18,3,6.79
Bordeaux,Jaroslav Plašil,85,1,34,10,0,6.79
Fc Nantes,Anthony Limbombe,76,1,12,11,1,6.79
Strasbourg,Lebo Mothiba,79,2,11,13,10,6.79
Dijon,Jordan Marié,79,1,52,12,1,6.79
Bordeaux,Andreas Cornelius,65,1,4,5,3,6.79
Amiens,Regis Gurtner,52,0,1,1,0,6.78
Toulouse,Gen Shoji,85,0,24,4,0,6.78
Stade De Reims,Thomas Foket,77,0,91,11,0,6.78
Toulouse,Jimmy Durmaz,77,1,34,49,4,6.78
Bordeaux,Aurelien Tchouameni,80,0,23,5,0,6.78
Angers,Baptiste Santamaria,81,0,118,29,1,6.78
Bordeaux,Yann Karamoh,77,1,7,44,3,6.78
Bordeaux,Nicolas de Préville,74,2,28,22,3,6.78
Angers,Jeff Reine-Adélaïde,84,3,40,94,3,6.78
Dijon,Fouad Chafik,75,2,44,17,0,6.78
Paris Saint Germain,Juan Bernat,91,2,47,18,1,6.78
Fc Nantes,Rene Krhin,83,0,23,4,0,6.78
Bordeaux,Lukas Lerager,80,1,39,1,0,6.77
Stade Rennais,Jordan Siebatcheu,75,1,6,1,3,6.77
Lille Osc,Luiz Araújo,79,2,23,23,3,6.77
Saint Etienne,Arnaud Nordin,84,1,14,22,3,6.77
Toulouse,Issiaga Sylla,78,0,54,16,2,6.77
