Team,Name,Key passes,Accurate passes percentage,Accurate passes,Assists,Big chances created,Rating
Ado Den Haag,Abdenasser El Khayati,14,80,200,0,1,6.73
Nec Nijmegen,Gregor Breinburg,15,80,918,0,0,6.72
Pec Zwolle,Ouasim Bouy,15,74,431,2,1,6.72
Excelsior,Mike van Duinen,15,55,139,3,3,6.72
Go Ahead Eagles,Sam Hendriks,13,70,204,0,1,6.72
Pec Zwolle,Mickey van der Hart,1,63,706,0,0,6.72
Ajax,Riechedly Bazoer,2,90,135,0,0,6.72
Vitesse,Alexander Büttner,11,73,97,2,3,6.72
Nec Nijmegen,André Fomitschow,36,71,612,3,3,6.72
Willem Ii Tilburg,Pele Van Anholt,16,76,505,0,1,6.72
Heracles Almelo,Vincent Vermeij,6,72,80,2,2,6.72
Heracles Almelo,Wout Droste,6,81,352,1,0,6.72
Heerenveen,Wout Faes,1,86,259,0,0,6.71
Roda Jc Kerkrade,Mitchell Paulissen,25,69,344,3,5,6.71
Feyenoord,Renato Tapia,0,83,66,0,0,6.71
Az Alkmaar,Jonas Svensson,4,80,288,0,0,6.71
Fc Twente,Jari Oosterwijk,3,62,67,0,0,6.71
Roda Jc Kerkrade,Athanasios Papazoglou,3,59,75,0,0,6.71
Groningen,Juninho Bacuna,13,75,563,3,2,6.71
Nec Nijmegen,Robin Buwalda,1,77,248,0,0,6.71
Excelsior,Haspolat Dogucan,0,67,4,0,0,6.70
Nec Nijmegen,Sam Lundholm,0,85,28,0,0,6.70
Az Alkmaar,Levi García,8,70,104,3,1,6.70
Heracles Almelo,Daryl van Mieghem,4,72,81,0,0,6.70
Vitesse,Mitchell Van Bergen,9,84,124,2,1,6.69
Ado Den Haag,Donny Gorter,7,75,132,0,1,6.69
Willem Ii Tilburg,Bruno Andrade,4,85,62,2,0,6.69
Heracles Almelo,Peter van Ooijen,6,83,201,1,0,6.69
Willem Ii Tilburg,Elmo Lieftink,2,68,193,1,0,6.69
Go Ahead Eagles,Norichio Nieveld,4,79,250,1,0,6.68
Willem Ii Tilburg,Freek Heerkens,4,73,283,0,1,6.68
Az Alkmaar,Tim Krul,1,61,244,0,0,6.68
Ajax,Mitchell Dijks,8,86,343,0,0,6.68
Fc Utrecht,Edson Braafheid,2,82,85,0,0,6.68
Psv Eindhoven,Florian Jozefzoon,2,79,11,0,0,6.68
Heerenveen,Caner Cavlan,2,80,90,0,0,6.67
Fc Twente,Chinedu Ede,16,79,318,6,3,6.67
Fc Twente,Giorgos Katsikas,0,77,17,0,0,6.67
Fc Twente,Tim Holscher,1,83,52,0,0,6.67
Fc Utrecht,Andreas Ludwig,10,73,177,0,1,6.66
Sparta Rotterdam,Bart Vriends,0,77,278,0,0,6.66
Pec Zwolle,Erik Israelsson,0,61,17,0,0,6.66
Fc Twente,Jelle van der Heyden,4,84,196,0,0,6.66
Nec Nijmegen,Ali Messaoud,12,75,253,1,3,6.66
Sparta Rotterdam,Rick Van Drongelen,5,75,915,1,1,6.66
Heerenveen,Pelle van Amersfoort,27,65,482,3,1,6.65
Go Ahead Eagles,Lum Rexhepi,1,75,6,0,0,6.65
Sparta Rotterdam,Cyril Chevreuil,1,50,2,0,0,6.65
Fc Utrecht,Jeff Hardeveld,3,78,102,0,0,6.65
Pec Zwolle,Stefan Nijland,5,78,65,0,0,6.65
Heracles Almelo,Jaroslav Navratil,20,76,255,2,4,6.65
Nec Nijmegen,Michael Heinloth,14,70,415,1,0,6.65
Fc Twente,Dylan Seys,9,72,143,0,3,6.64
Go Ahead Eagles,Leon de Kogel,4,62,145,1,0,6.64
Ado Den Haag,José San Román,13,68,243,1,2,6.64
Ado Den Haag,Hector Hevel,5,67,95,1,0,6.64
Nec Nijmegen,Jordan Larsson,5,82,103,0,0,6.64
Ado Den Haag,Tom Trybull,13,85,818,0,1,6.63
Heerenveen,Simon Thern,1,69,9,0,0,6.63
Vitesse,Arshak Koryan,0,100,25,0,0,6.63
Go Ahead Eagles,Tom Daemen,1,68,13,0,0,6.63
Go Ahead Eagles,Lars Lambooij,0,80,165,0,0,6.63
Pec Zwolle,Anass Achahbar,11,75,167,2,0,6.63
Go Ahead Eagles,Ludcinio Marengo,6,71,151,2,2,6.63
Willem Ii Tilburg,Dries Wuytens,4,86,309,0,0,6.63
Nec Nijmegen,Lorenzo Burnet,3,72,218,1,2,6.62
Ado Den Haag,Kevin Jansen,5,80,116,0,0,6.62
Go Ahead Eagles,Joey Groenbast,13,77,685,1,2,6.61
Sparta Rotterdam,Florian Pinteaux,2,78,185,0,0,6.60
Willem Ii Tilburg,Bartholomew Ogbeche,1,67,79,0,0,6.60
Psv Eindhoven,Ramon-Pascal Lundqvist,0,100,10,0,0,6.60
Fc Twente,Torgeir Børven,1,100,5,0,0,6.60
Vitesse,Abiola Dauda,0,40,2,0,0,6.60
Groningen,Glenn Bijl,2,86,24,1,1,6.60
Excelsior,Arghus,0,100,2,0,0,6.60
Az Alkmaar,Jeremy Helmer,2,89,17,0,0,6.60
Nec Nijmegen,Stefan Mauk,0,69,9,0,0,6.60
Sparta Rotterdam,Stijn Spierings,27,76,531,5,2,6.60
Willem Ii Tilburg,Thomas Kok,0,57,13,0,0,6.60
Ado Den Haag,Hennos Asmelash,0,80,4,0,0,6.60
Go Ahead Eagles,Teije Ten Den,0,50,2,0,0,6.60
Heracles Almelo,Dario Vujicevic,0,85,39,0,0,6.60
Ado Den Haag,Randy Wolters,21,70,309,2,4,6.60
Excelsior,Anouar Hadouir,9,80,167,1,2,6.59
Go Ahead Eagles,Rochdi Achenteh,6,83,560,0,0,6.59
Go Ahead Eagles,Kevin Brands,6,85,183,0,1,6.59
Nec Nijmegen,Ferdi Erenay Kadıoğlu,21,72,376,3,4,6.59
Nec Nijmegen,Janio Bikel,12,76,608,0,0,6.59
Go Ahead Eagles,Sebastien Locigno,5,80,310,1,1,6.59
Fc Twente,Fredrik Jensen,15,76,320,2,4,6.58
Nec Nijmegen,Taiwo Awoniyi,13,72,202,0,0,6.58
Az Alkmaar,Thomas Ouwejan,2,79,112,0,0,6.58
Excelsior,Leeroy Owusu,3,75,121,0,0,6.58
Pec Zwolle,Bart Schenkeveld,10,80,331,1,0,6.58
Sparta Rotterdam,Sherel Floranus,9,77,593,0,0,6.58
Fc Twente,Dejan Trajkovski,9,68,302,3,2,6.58
Ado Den Haag,Guyon Fernandez,2,72,62,0,0,6.58
Excelsior,Danilo Pantić,3,79,81,0,1,6.58
Sparta Rotterdam,Denzel Dumfries,16,65,607,1,1,6.57
Ado Den Haag,Dennis van der Heijden,3,58,71,0,1,6.57
Fc Twente,Jos Hooiveld,1,67,45,0,0,6.57
Roda Jc Kerkrade,Gyliano Van Velzen,7,73,119,0,0,6.57
Nec Nijmegen,Frank Sturing,0,79,41,0,0,6.57
Fc Utrecht,Patrick Joosten,6,83,121,0,0,6.57
Go Ahead Eagles,Elvis Manu,7,73,162,2,1,6.56
Vitesse,Yuning Zhang,2,71,101,0,0,6.56
Excelsior,Terell Ondaan,11,70,143,0,1,6.56
Nec Nijmegen,Arnaut Groeneveld,8,81,139,0,0,6.55
Psv Eindhoven,Menno Koch,1,83,109,0,0,6.55
Feyenoord,Emil Hansson,2,78,14,0,0,6.55
Vitesse,Lassana Faye,0,75,43,0,0,6.55
Go Ahead Eagles,Henrik Ojamaa,3,68,46,0,0,6.55
Roda Jc Kerkrade,Célestin Djim,0,0,0,0,0,6.55
Fc Utrecht,Darren Rosheuvel,0,92,57,0,0,6.55
Roda Jc Kerkrade,Simeon Raykov,1,73,8,0,0,6.55
Groningen,Jesper Drost,12,71,192,2,0,6.55
Excelsior,Kevin Vermeulen,21,64,181,5,4,6.54
Heerenveen,Shay Facey,0,91,49,0,0,6.53
Groningen,Ajdin Hrustic,3,93,26,0,1,6.53
Willem Ii Tilburg,Andreas Calcan,3,67,39,0,0,6.52
Sparta Rotterdam,Paco van Moorsel,13,66,314,2,3,6.51
Willem Ii Tilburg,Asumah Abubakar,5,76,98,0,0,6.51
Nec Nijmegen,Reagy Ofosu,5,74,181,0,2,6.51
Excelsior,Bas Kuipers,10,74,383,0,0,6.50
Az Alkmaar,Calvin Stengs,0,67,6,0,0,6.50
Vitesse,Ali Mukhtar,0,76,45,0,0,6.50
Pec Zwolle,Hervin Ongenda,0,38,8,0,0,6.50
Ajax,Pelle Clement,0,89,17,0,0,6.50
Heracles Almelo,Gor Agbaljan,0,0,0,0,0,6.50
Roda Jc Kerkrade,Bryan Verboom,1,90,35,0,0,6.50
Go Ahead Eagles,Givan Werkhoven,0,50,3,0,0,6.50
