Team,Name,Key passes,Accurate passes percentage,Accurate passes,Assists,Big chances created,Rating
Bordeaux,Alexandre Lauray,0,84,183,0,0,6.70
Stade Rennais,Diafra Sakho,0,58,14,0,0,6.70
Caen,Claudio Beauvue,13,67,225,0,1,6.70
Amiens,Bakaye Dibassy,7,77,949,1,0,6.69
Caen,Prince Oniangué,5,84,819,0,1,6.69
Ogc Nice,Myziane Maolida,19,82,282,3,3,6.69
Angers,Vincent Pajot,4,85,257,0,1,6.69
As Monaco,Benoît Badiashile,2,90,976,0,0,6.69
Guingamp,Mehdi Merghem,2,77,199,1,0,6.69
Bordeaux,Josh Maja,1,78,40,0,0,6.68
Amiens,Khaled Adenon,5,86,836,0,0,6.68
Caen,Yacine Bammou,6,76,228,0,1,6.68
Toulouse,Kelvin Amian,8,78,753,1,2,6.68
As Monaco,Carlos Vinícius,7,57,55,1,1,6.68
Ogc Nice,Danilo,12,86,558,0,2,6.68
Guingamp,Marc-Aurele Caillard,0,51,243,0,0,6.68
Stade Rennais,Mehdi Zeffane,11,83,513,0,1,6.68
Olympique De Marseille,Steve Mandanda,0,66,564,0,0,6.67
Stade Rennais,Jeremy Gelin,5,87,691,0,0,6.67
Stade De Reims,Boulaye Dia,7,68,106,0,2,6.67
Saint Etienne,Loïs Diony,19,67,191,1,3,6.67
Caen,Enzo Crivelli,16,65,345,1,1,6.67
Guingamp,Ludovic Blas,21,77,699,6,4,6.67
As Monaco,William Vainqueur,0,91,58,0,0,6.67
Stade Rennais,Jakob Johansson,4,87,340,0,1,6.67
As Monaco,Kévin N'Doram,0,89,123,0,0,6.67
Guingamp,Yeni N'Gbakoto,11,64,92,0,0,6.67
Angers,Théo Pellenard,4,83,218,0,0,6.67
Fc Nantes,Andrei Girotto,6,79,634,0,0,6.67
Lille Osc,Thiago Maia,8,83,486,1,1,6.66
Lille Osc,Jérémy Pied,7,78,214,2,2,6.66
Amiens,Juan Otero,28,75,489,2,3,6.66
Olympique De Marseille,Konstantinos Mitroglou,4,73,74,0,0,6.66
Guingamp,Christophe Kerbrat,1,78,672,0,0,6.66
Dijon,Florent Balmont,18,84,562,1,1,6.66
Paris Saint Germain,Colin Dagba,14,93,535,2,3,6.66
Montpellier,Salomon Sambia,23,81,274,1,2,6.66
Guingamp,Étienne Didot,17,78,912,1,3,6.66
Stade Rennais,Tomáš Koubek,1,64,489,0,0,6.66
Guingamp,Alexandre Mendy,7,72,83,0,1,6.66
Fc Nantes,Samuel Moutoussamy,21,81,517,3,1,6.65
Amiens,Emil Krafth,16,73,776,1,4,6.65
Nimes Olympique,Herve Lybohy,0,84,475,0,0,6.65
As Monaco,Julien Serrano,1,79,37,0,0,6.65
Guingamp,Franck Tabanou,0,77,50,0,0,6.65
Stade De Reims,Nolan Mbemba,1,81,161,0,0,6.65
Bordeaux,Youssouf Sabaly,19,82,811,1,3,6.65
Bordeaux,Younousse Sankharé,18,76,481,3,1,6.65
Angers,Cristian López,2,67,67,0,1,6.65
Paris Saint Germain,Layvin Kurzawa,12,84,399,2,5,6.64
Amiens,Eddy Gnahoré,30,89,1028,2,3,6.64
Saint Etienne,Valentín Vada,6,86,243,1,2,6.64
Toulouse,Corentin Jean,9,79,138,0,5,6.64
Caen,Emmanuel Imorou,3,75,313,1,1,6.64
Saint Etienne,Neven Subotić,6,84,956,0,0,6.64
Stade De Reims,Marvin Martin,11,76,237,1,1,6.64
Toulouse,Yannick Cahuzac,6,82,446,0,0,6.63
Nimes Olympique,Denis Bouanga,31,70,410,2,4,6.63
Stade Rennais,James Léa Siliki,18,76,283,3,6,6.63
Guingamp,Nathael Julan,5,60,75,0,0,6.63
Nimes Olympique,Moustapha Diallo,2,67,116,1,0,6.63
Dijon,Chang-Hoon Kwon,13,75,224,0,0,6.63
Montpellier,Nicolas Cozza,3,84,375,1,1,6.63
Dijon,Jules Keita,9,79,99,1,1,6.62
Saint Etienne,Kévin Monnet-Paquet,14,79,441,1,2,6.62
Caen,Ismaël Diomandé,4,82,489,1,1,6.62
Toulouse,Bafode Diakite,2,80,212,0,0,6.62
Dijon,Romain Amalfitano,15,79,818,0,1,6.62
Stade Rennais,Romain Del Castillo,26,75,360,3,5,6.62
Saint Etienne,Lamine Ghezali,0,74,14,0,0,6.62
