Team,Name,Accurate passing percentage,Assists,Tackles,Successful Dribbles,Goals,Rating
Roda Jc Kerkrade,Beni Badibanga,76,0,0,10,0,6.82
Willem Ii Tilburg,Erik Falkenburg,67,1,7,10,5,6.82
Psv Eindhoven,Siem de Jong,82,1,15,10,6,6.82
Roda Jc Kerkrade,Ard Van Peppen,74,0,66,8,0,6.82
Roda Jc Kerkrade,Daniel De Silva,84,1,6,4,0,6.81
Nec Nijmegen,Julian von Haacke,84,0,48,25,2,6.81
Psv Eindhoven,Jeroen Zoet,71,0,0,8,0,6.81
Excelsior,Jurgen Matheij,77,1,54,3,3,6.81
Roda Jc Kerkrade,Martin Milec,77,1,46,9,0,6.81
Sparta Rotterdam,Craig Goodwin,70,5,20,16,4,6.81
Fc Utrecht,Wout Brama,83,1,47,4,1,6.81
Heerenveen,Morten Thorsby,79,1,55,13,0,6.81
Sparta Rotterdam,Jerson Cabral,78,3,15,11,0,6.81
Excelsior,Fredy,75,4,50,35,2,6.81
Sparta Rotterdam,David Mendes,80,0,17,4,0,6.80
Feyenoord,Mohammed El Hankouri,71,0,0,0,0,6.80
Ajax,Deyovaisio Zeefuik,82,0,1,1,0,6.80
Vitesse,Navarone Foor,81,1,37,23,6,6.80
Vitesse,Kelvin Leerdam,73,5,40,7,1,6.80
Feyenoord,Gustavo Hamer,90,0,2,0,0,6.80
Sparta Rotterdam,Michael Verrips,30,0,0,0,0,6.80
Willem Ii Tilburg,Guus Joppen,77,1,19,2,0,6.80
Go Ahead Eagles,Xandro Schenk,84,0,49,5,0,6.80
Excelsior,Tom Muyters,54,0,0,1,0,6.79
Ajax,Mateo Cassierra,80,0,1,4,2,6.79
Go Ahead Eagles,Theo Zwarthoed,54,1,0,0,0,6.79
Excelsior,Jeffrey Fortes,74,0,37,6,1,6.79
Excelsior,Stanley Elbers,74,0,33,10,8,6.79
Willem Ii Tilburg,Jordy Croux,73,7,40,18,1,6.79
Ado Den Haag,Wilfried Kanon,75,1,63,13,1,6.79
Az Alkmaar,Ben Rienstra,82,1,46,7,0,6.79
Pec Zwolle,Dirk Marcellis,85,0,64,9,0,6.79
Az Alkmaar,Fred Friday,76,2,10,13,5,6.79
Excelsior,Khalid Karami,70,3,44,39,2,6.78
Groningen,Albert Rusnák,84,0,10,8,1,6.78
Excelsior,Nigel Hasselbaink,74,6,12,29,10,6.78
Sparta Rotterdam,Thomas Verhaar,61,1,33,17,5,6.78
Roda Jc Kerkrade,Nathan Rutjes,82,0,14,6,0,6.78
Roda Jc Kerkrade,Abdul Ajagun,73,2,37,14,5,6.78
Vitesse,Adnane Tighadouini,76,1,14,45,3,6.78
Az Alkmaar,Mattias Johansson,77,1,65,14,0,6.77
Sparta Rotterdam,Mathias Pogba,65,0,1,1,4,6.77
Sparta Rotterdam,Mart Dijkstra,76,1,66,9,0,6.77
Go Ahead Eagles,Darren Maatsen,69,1,22,53,4,6.77
Heerenveen,Erwin Mulder,66,0,1,1,0,6.77
Ado Den Haag,Sheraldo Becker,72,1,13,15,3,6.77
Willem Ii Tilburg,Jari Schuurman,79,0,4,0,3,6.77
Fc Twente,Yaw Yeboah,80,1,41,32,2,6.77
Pec Zwolle,Kingsley Ehizibue,69,2,43,27,2,6.77
Excelsior,Henrico Drost,87,0,15,1,0,6.77
Pec Zwolle,Gustavo,73,0,6,1,0,6.77
Go Ahead Eagles,Jarchinio Antonia,70,3,18,23,5,6.77
Az Alkmaar,Sergio Rochet,54,0,0,1,0,6.77
Go Ahead Eagles,Joey Suk,70,1,36,2,0,6.76
Roda Jc Kerkrade,David Boysen,70,1,15,3,1,6.76
Willem Ii Tilburg,Fran Sol,72,0,7,8,10,6.76
Fc Utrecht,Gyrano Kerk,62,4,11,22,3,6.76
Nec Nijmegen,Mikael Dyrestam,76,0,38,12,0,6.76
Az Alkmaar,Joris van Overeem,78,5,25,4,1,6.76
Nec Nijmegen,Kevin Mayi,69,3,20,16,4,6.75
Heerenveen,Luciano Slagveer,69,3,21,9,4,6.75
Roda Jc Kerkrade,Mikhael Rosheuvel,77,5,20,45,2,6.75
Fc Twente,Enis Bunjaki,89,1,0,1,0,6.75
Fc Utrecht,Richairo Zivkovic,73,1,24,10,8,6.75
Ado Den Haag,Thomas Meissner,81,0,33,6,0,6.74
Ajax,Václav Černý,78,0,8,5,0,6.74
Sparta Rotterdam,Zakaria El Azzouzi,75,1,6,17,5,6.74
Ado Den Haag,Tyronne Ebuehi,76,1,62,20,1,6.74
Ado Den Haag,Ruben Schaken,82,4,14,29,1,6.74
Pec Zwolle,Ryan Thomas,75,5,42,24,1,6.74
Vitesse,Valeri Qazaishvili,81,0,2,7,1,6.73
Ado Den Haag,Ashraf El Mahdioui,79,1,20,4,0,6.73
Excelsior,Warner Hahn,52,0,0,0,0,6.73
Pec Zwolle,Youness Mokhtar,74,2,18,39,4,6.73
Sparta Rotterdam,Ivan Calero,69,0,11,11,2,6.73
Heracles Almelo,Mark Jan Fledderus,81,0,7,2,0,6.73
Ado Den Haag,Abdenasser El Khayati,80,0,8,7,5,6.73
Nec Nijmegen,Gregor Breinburg,80,0,81,9,2,6.72
Pec Zwolle,Ouasim Bouy,74,2,16,2,0,6.72
Excelsior,Mike van Duinen,55,3,15,13,3,6.72
Go Ahead Eagles,Sam Hendriks,70,0,10,8,8,6.72
Pec Zwolle,Mickey van der Hart,63,0,0,2,0,6.72
Ajax,Riechedly Bazoer,90,0,3,0,0,6.72
Vitesse,Alexander Büttner,73,2,7,2,0,6.72
Nec Nijmegen,André Fomitschow,71,3,32,15,0,6.72
Willem Ii Tilburg,Pele Van Anholt,76,0,55,8,0,6.72
Heracles Almelo,Vincent Vermeij,72,2,8,2,2,6.72
