Team,Name,Key passes,Accurate passes percentage,Accurate passes,Assists,Big chances created,Rating
Benevento,Samuel Armenteros,2,75,62,0,1,6.66
Bologna,Riccardo Orsolini,9,73,105,0,3,6.65
Crotone,Moussa Diaby,0,69,11,0,0,6.65
Benevento,Karamoko Cissé,1,50,2,0,0,6.65
Udinese,Simone Scuffet,1,49,65,0,0,6.65
Cagliari,Senna Miangue,11,73,184,1,1,6.65
Benevento,Lorenzo Venuti,21,82,793,1,4,6.65
Genoa,Giuseppe Rossi,1,84,88,0,1,6.64
Cagliari,Daniele Dessena,2,70,154,0,0,6.64
Spal,Alberto Paloschi,12,74,286,1,1,6.64
Sassuolo,Luca Mazzitelli,6,72,298,1,0,6.64
Sampdoria,Jacopo Sala,4,87,559,0,0,6.64
Crotone,Marco Capuano,3,80,735,0,0,6.64
Udinese,Maxi López,21,67,242,2,2,6.63
Hellas Verona,Seung-Woo Lee,3,78,123,0,0,6.63
Sassuolo,Cristian Dell'Orco,2,67,103,0,0,6.63
Chievoverona,Fabio Depaoli,7,63,198,0,1,6.63
Sassuolo,Alessandro Matri,12,72,147,0,2,6.63
Torino,Mirko Valdifiori,4,82,321,0,1,6.63
Lazio,Felipe Caicedo,8,77,139,1,1,6.62
Benevento,Pietro Iemmello,9,77,158,1,2,6.62
Bologna,Ádám Nagy,6,86,190,0,1,6.62
Sassuolo,Alfred Duncan,34,75,534,2,3,6.61
Hellas Verona,Ryder Matos,8,82,239,1,1,6.61
Torino,Lucas Boyé,4,71,58,1,1,6.61
Roma,Grégoire Defrel,5,83,111,0,1,6.61
Chievoverona,Massimo Gobbi,25,74,729,3,6,6.60
Cagliari,Marco Sau,12,77,286,0,1,6.60
Benevento,Enrico Brignola,20,82,376,2,2,6.60
Crotone,Aristóteles Romero,1,76,37,0,0,6.60
Roma,Emerson Palmieri,0,100,15,0,0,6.60
Napoli,Marko Rog,7,87,244,0,1,6.60
Udinese,Riad Bajić,2,68,13,0,0,6.60
Sassuolo,Claud Adjapong,11,73,306,1,2,6.60
Cagliari,Fabrizio Caligara,0,80,4,0,0,6.60
Lazio,Simone Palombi,0,85,11,0,0,6.60
Spal,Federico Bonazzoli,1,84,42,0,0,6.60
Torino,Alessandro Buongiorno,0,86,6,0,0,6.60
Bologna,Lorenzo Crisetig,1,87,312,0,0,6.60
Benevento,Mamadou Kanoute,0,88,14,0,0,6.60
Benevento,Gaetano Letizia,21,81,823,0,0,6.60
Bologna,Emil Krafth,3,79,337,0,0,6.59
Crotone,Ahmad Benali,9,79,301,1,0,6.59
Sampdoria,Valerio Verre,4,86,261,0,1,6.59
Crotone,Aleksandăr Tonev,3,62,65,0,0,6.59
Hellas Verona,Marcel Büchel,12,78,641,0,0,6.59
Genoa,Aleandro Rosi,7,71,414,1,0,6.58
Chievoverona,Sergio Pellissier,8,71,77,1,0,6.58
Cagliari,Damir Ceter,4,65,37,0,0,6.58
Bologna,Vasilīs Torosidīs,4,75,235,0,0,6.58
Hellas Verona,Franco Zuculini,5,82,135,0,0,6.58
Spal,Michele Cremonesi,0,87,125,0,0,6.58
Sassuolo,Antonino Ragusa,10,71,159,1,0,6.57
Sampdoria,Édgar Barreto,19,81,847,0,3,6.57
Benevento,Andrea Costa,2,77,523,0,0,6.57
Hellas Verona,Gian Filippo Felicioli,0,80,53,0,0,6.57
Udinese,Svante Ingelsson,3,77,63,0,0,6.56
Benevento,Vittorio Parigini,14,80,214,0,3,6.56
Bologna,Felipe Avenatti,3,59,80,0,0,6.55
Cagliari,Duje Čop,0,52,11,0,0,6.55
Genoa,Eddy Salcedo,0,86,6,0,0,6.55
Spal,Luca Mora,7,74,239,0,0,6.55
Hellas Verona,Mohamed Fares,19,69,642,1,3,6.55
Bologna,Ladislav Krejčí,3,78,112,0,0,6.55
Torino,Afriyie Acquah,6,87,405,0,1,6.55
Spal,Sauli Väisänen,1,89,236,0,0,6.54
Spal,Marco Borriello,10,78,122,0,1,6.54
Benevento,Jean Claude Billong,1,92,132,0,0,6.54
Benevento,Alberto Brignoli,0,56,246,0,0,6.54
Sampdoria,Ricardo Álvarez,6,81,126,1,0,6.54
Chievoverona,Boštjan Cesar,0,82,196,0,0,6.53
Chievoverona,Samuel Bastien,7,84,387,0,0,6.53
Chievoverona,Luca Garritano,2,75,55,0,0,6.53
Genoa,Petar Brlek,1,83,94,0,0,6.53
Crotone,Marcus Rohdén,12,68,336,0,1,6.52
Crotone,Daniel Pavlović,11,67,212,0,1,6.52
Atalanta,Nicolas Haas,1,86,78,0,0,6.51
