Team,Name,Key passes,Accurate passes percentage,Accurate passes,Assists,Big chances created,Rating
Werder Bremen,Philipp Bargfrede,3,77,170,1,1,6.77
Hamburger Sv,Vasilije Janjičić,1,72,63,0,0,6.77
Wolfsburg,Koen Casteels,0,70,446,0,0,6.77
1 Fc Koln,Christian Clemens,8,72,191,1,1,6.76
Augsburg,Philipp Max,27,73,451,2,7,6.76
1899 Hoffenheim,Nadiem Amiri,34,84,707,4,6,6.76
Hamburger Sv,Gotoku Sakai,22,70,820,2,2,6.76
Fc Schalke 04,Coke,10,76,204,0,1,6.76
Werder Bremen,Florian Grillitsch,5,80,710,0,1,6.76
Werder Bremen,Florian Kainz,4,80,114,3,1,6.76
1 Fc Koln,Artjoms Rudnevs,16,60,98,3,4,6.76
Hamburger Sv,Gideon Jung,4,69,528,0,0,6.76
1 Fc Koln,Dominic Maroh,0,85,283,0,0,6.76
Ingolstadt,Marcel Tisserand,5,71,706,1,1,6.76
Hamburger Sv,Emir Spahić,1,75,325,0,0,6.76
1 Fsv Mainz 05,Niko Bungert,0,79,272,0,0,6.76
Darmstadt 98,Alexander Milošević,2,75,389,0,0,6.76
Augsburg,Christoph Janker,1,84,393,0,0,6.75
Werder Bremen,Felix Wiedwald,0,52,365,0,0,6.75
Ingolstadt,Tobias Levels,4,71,281,0,1,6.75
Borussia Dortmund,Sebastian Rode,8,89,396,0,2,6.75
Eintracht Frankfurt,Danny Blum,6,67,107,1,3,6.75
Fc Schalke 04,Franco di Santo,5,64,61,2,2,6.75
Rb Leipzig,Dominik Kaiser,23,71,255,0,1,6.75
Bayer 04 Leverkusen,Bernd Leno,1,65,651,0,1,6.74
Hamburger Sv,Douglas Santos,11,68,483,0,1,6.74
Ingolstadt,Anthony Jung,10,61,143,1,1,6.74
Fc Schalke 04,Baba Rahman,8,73,235,2,1,6.74
1899 Hoffenheim,Pirmin Schwegler,4,82,219,1,0,6.74
Darmstadt 98,Michael Esser,1,55,535,0,0,6.74
Hertha Bsc,Peter Pekarík,19,76,953,1,0,6.74
Bayer 04 Leverkusen,Julian Brandt,52,78,842,8,12,6.74
1 Fc Koln,Konstantin Rausch,29,75,540,2,5,6.74
Hertha Bsc,Julian Schieber,4,56,92,1,2,6.74
Freiburg,Alexander Schwolow,2,56,768,0,0,6.74
Eintracht Frankfurt,Guillermo Varela,2,77,110,0,0,6.73
Werder Bremen,Santiago García,8,74,444,2,0,6.73
Hamburger Sv,Pierre-Michel Lasogga,5,64,119,0,2,6.73
Hertha Bsc,Salomon Kalou,24,73,434,4,7,6.73
Eintracht Frankfurt,Branimir Hrgota,16,77,340,1,4,6.73
Bayer 04 Leverkusen,Karim Bellarabi,18,72,289,6,4,6.73
Freiburg,Amir Abrashi,7,77,491,0,0,6.73
Darmstadt 98,Patrick Banggaard,1,79,261,0,0,6.72
Fc Schalke 04,Daniel Caligiuri,31,75,629,4,4,6.72
1899 Hoffenheim,Lukas Rupp,11,77,253,1,2,6.72
Fc Schalke 04,Max Meyer,31,85,628,1,3,6.72
Wolfsburg,Jannes Horn,10,82,313,1,1,6.72
Wolfsburg,Diego Benaglio,0,56,192,0,0,6.71
Ingolstadt,Roger,1,67,500,0,0,6.71
Eintracht Frankfurt,Michael Hector,0,71,551,0,0,6.71
Bayer 04 Leverkusen,Kevin Volland,26,68,299,2,4,6.71
Freiburg,Julian Schuster,6,77,365,0,0,6.71
Darmstadt 98,Immanuel Höhn,4,73,235,0,0,6.71
1 Fsv Mainz 05,Jhon Córdoba,18,68,334,3,3,6.70
Fc Schalke 04,Benjamin Stambouli,3,83,626,0,0,6.70
Darmstadt 98,Sven Schipplock,10,54,142,0,3,6.70
Wolfsburg,Bas Dost,1,48,14,1,0,6.70
Borussia Dortmund,Felix Passlack,4,90,337,0,1,6.70
Eintracht Frankfurt,Marco Russ,0,80,70,0,0,6.70
Rb Leipzig,Massimo Bruno,0,0,0,0,0,6.70
Werder Bremen,Lennart Thy,0,67,18,0,0,6.70
1 Fsv Mainz 05,Aaron Seydel,0,55,27,0,0,6.70
Freiburg,Håvard Nielsen,1,50,6,1,0,6.70
Hamburger Sv,Tom Mickel,0,48,11,0,0,6.70
Borussia Dortmund,Mario Götze,15,82,321,1,1,6.70
Bayer 04 Leverkusen,Leon Bailey,3,66,27,0,0,6.70
Hamburger Sv,Bakery Jatta,3,54,29,0,1,6.70
1899 Hoffenheim,Jeremy Toljan,15,77,392,1,1,6.70
Bayern Munchen,Renato Sanches,4,88,417,0,0,6.69
Darmstadt 98,Antonio Čolak,7,64,159,1,1,6.69
Augsburg,Marwin Hitz,0,58,606,0,0,6.69
Werder Bremen,Claudio Pizarro,12,66,187,1,2,6.69
1 Fsv Mainz 05,Yoshinori Muto,7,63,115,0,1,6.68
Wolfsburg,Daniel Didavi,16,78,285,2,3,6.68
1 Fsv Mainz 05,Bojan Krkić,10,80,160,1,0,6.68
Augsburg,Caiuby,2,60,55,0,0,6.68
Hertha Bsc,Genki Haraguchi,20,75,462,2,4,6.68
Rb Leipzig,Péter Gulácsi,1,63,639,0,0,6.68
1 Fsv Mainz 05,Jonas Lössl,2,57,457,0,0,6.68
Ingolstadt,Alfredo Morales,10,64,400,0,1,6.68
Wolfsburg,Riechedly Bazoer,6,82,338,1,1,6.68
Wolfsburg,Paul Seguin,13,84,573,1,4,6.68
Freiburg,Marc Torrejón,1,82,440,0,0,6.68
Hamburger Sv,Michael Gregoritsch,9,61,300,1,2,6.67
Wolfsburg,Bruno Henrique,5,67,37,0,0,6.67
Eintracht Frankfurt,Ante Rebić,29,52,215,2,5,6.67
Hamburger Sv,Albin Ekdal,2,70,344,1,0,6.67
Hertha Bsc,Maximilian Mittelstädt,4,65,123,1,2,6.67
Ingolstadt,Lukas Hinterseer,13,64,183,1,4,6.67
1 Fsv Mainz 05,Pablo De Blasis,32,67,404,4,5,6.67
Wolfsburg,Borja Mayoral,6,77,122,0,0,6.67
Werder Bremen,Izet Hajrović,11,67,88,0,2,6.67
Borussia Mgladbach,Jonas Hofmann,16,77,376,1,3,6.67
Bayer 04 Leverkusen,Admir Mehmedi,12,76,345,0,0,6.67
Hamburger Sv,Luca Waldschmidt,4,69,66,1,1,6.66
Hamburger Sv,Johan Djourou,3,82,341,0,0,6.66
1 Fsv Mainz 05,Jean-Philippe Gbamin,6,71,534,0,0,6.66
Hertha Bsc,Valentin Stocker,15,64,225,1,1,6.66
Hertha Bsc,Alexander Esswein,18,72,288,2,1,6.66
Augsburg,Alfreð Finnbogason,14,68,187,1,1,6.65
Fc Schalke 04,Yevhen Konoplyanka,7,78,155,1,1,6.65
Werder Bremen,Maximilian Eggestein,9,76,345,0,0,6.65
Bayer 04 Leverkusen,Tin Jedvaj,1,73,488,0,0,6.65
Fc Schalke 04,Donis Avdijaj,3,71,77,0,0,6.65
Rb Leipzig,Federico Palacios,1,44,7,0,0,6.65
1 Fc Koln,Marcel Hartel,0,83,44,0,0,6.65
Fc Schalke 04,Sascha Riether,2,83,177,0,0,6.65
Werder Bremen,Ousman Manneh,3,59,46,1,1,6.65
Eintracht Frankfurt,Lukáš Hrádecký,1,63,680,0,0,6.65
Hamburger Sv,Dennis Diekmeier,16,63,268,1,0,6.65
Borussia Mgladbach,André Hahn,13,59,241,1,1,6.64
Darmstadt 98,Roman Bezjak,6,52,66,0,0,6.64
Bayer 04 Leverkusen,Danny da Costa,1,74,56,1,1,6.63
1899 Hoffenheim,Fabian Schär,0,85,154,0,0,6.63
1899 Hoffenheim,Barış Atik,0,78,36,0,0,6.63
Wolfsburg,Marcel Schafer,2,79,44,0,0,6.63
Ingolstadt,Sonny Kittel,10,76,171,1,3,6.63
Fc Schalke 04,Klaas-Jan Huntelaar,3,75,110,0,0,6.63
Darmstadt 98,Artem Fedetsky,4,65,191,0,0,6.63
Darmstadt 98,Denys Oliynyk,1,80,16,0,0,6.63
1 Fsv Mainz 05,Gerit Holtmann,2,78,31,1,1,6.63
Augsburg,Jonathan Schmid,21,69,259,3,2,6.63
Werder Bremen,Miloš Veljković,6,77,688,0,1,6.62
Bayern Munchen,Sven Ulreich,0,88,113,0,0,6.62
1 Fsv Mainz 05,Suat Serdar,3,69,74,0,0,6.61
Hamburger Sv,Nicolai Müller,28,62,286,6,3,6.61
Hamburger Sv,Bobby Wood,25,62,309,2,5,6.61
Freiburg,Onur Bulut,12,63,197,1,1,6.61
Ingolstadt,Martin Hansen,1,49,316,0,0,6.61
Eintracht Frankfurt,Haris Seferović,11,62,188,0,2,6.60
Augsburg,Ja-Cheol Koo,18,78,470,3,3,6.60
