Team,Name,Goal conversion percentage,Total shots,Successful dribbles,Big chances missed,Goals,Rating
Rb Leipzig,Dominik Kaiser,0,2,0,0,0,6.68
Hamburger Sv,André Hahn,9,35,4,3,3,6.68
1 Fc Koln,Paweł Olkowski,0,2,5,0,0,6.68
Eintracht Frankfurt,Aymen Barkok,0,0,4,0,0,6.68
Hamburger Sv,Luca Waldschmidt,4,23,9,1,1,6.67
Freiburg,Mike Frantz,0,8,3,1,0,6.67
Hamburger Sv,Sejad Salihović,20,5,5,0,1,6.67
Bayer 04 Leverkusen,Tin Jedvaj,0,4,4,0,0,6.67
Wolfsburg,Jakub Błaszczykowski,100,1,6,0,1,6.67
1899 Hoffenheim,Felix Passlack,0,0,0,0,0,6.67
1899 Hoffenheim,Robert Žulj,0,6,0,1,0,6.66
Hertha Bsc,Mathew Leckie,33,15,27,0,5,6.66
1 Fc Koln,Simon Zoller,25,8,6,3,2,6.65
1 Fc Koln,Jhon Córdoba,0,19,11,4,0,6.65
Augsburg,Konstantinos Stafylidis,0,1,0,0,0,6.65
Bayern Munchen,Franck Evina,0,2,1,0,0,6.65
Augsburg,Andreas Luthe,0,0,0,0,0,6.65
Augsburg,Jan Morávek,0,2,4,0,0,6.65
Hannover 96,Charlison Benschop,20,5,1,0,1,6.65
1899 Hoffenheim,Eugen Polański,0,1,3,0,0,6.64
Hamburger Sv,Sven Schipplock,0,3,2,2,0,6.64
Borussia Mgladbach,Jonas Hofmann,0,11,12,3,0,6.64
1 Fc Koln,Marco Höger,0,4,14,1,0,6.64
Hannover 96,Kenan Karaman,11,9,9,0,1,6.64
1899 Hoffenheim,Ermin Bičakčić,0,2,1,1,0,6.63
1 Fsv Mainz 05,Robin Zentner,0,0,0,0,0,6.63
1899 Hoffenheim,Phillipp Ochs,0,4,0,0,0,6.63
Bayer 04 Leverkusen,Benjamin Henrichs,0,7,7,0,0,6.63
Augsburg,Sergio Córdova,18,11,6,1,2,6.63
1 Fsv Mainz 05,Gerit Holtmann,11,18,9,1,2,6.63
Vfb Stuttgart,Orel Mangala,0,7,14,0,0,6.63
Hannover 96,Iver Fossum,10,10,5,0,1,6.62
1899 Hoffenheim,Lukas Rupp,30,10,14,1,3,6.62
Bayer 04 Leverkusen,Joel Pohjanpalo,25,4,0,1,1,6.62
Freiburg,Lucas Höler,10,10,15,2,1,6.61
Fc Schalke 04,Weston McKennie,0,8,8,1,0,6.61
1 Fsv Mainz 05,Nigel de Jong,0,1,1,0,0,6.61
Werder Bremen,Arón Johannssón,11,9,4,2,1,6.60
1 Fc Koln,Yann Aurel Bisseck,0,0,0,0,0,6.60
Hannover 96,Oliver Sorg,0,4,5,0,0,6.60
Hannover 96,Marvin Bakalorz,0,16,15,2,0,6.60
Werder Bremen,Marco Friedl,0,3,5,1,0,6.60
Fc Schalke 04,Alessandro Schöpf,0,9,13,0,0,6.60
Borussia Mgladbach,Julio Villalba,0,0,0,0,0,6.60
Fc Schalke 04,Pablo Insua,0,0,0,0,0,6.60
Freiburg,Karim Guédé,0,0,0,0,0,6.60
Augsburg,Kilian Jakob,0,1,0,0,0,6.60
1 Fc Koln,Christian Clemens,8,13,6,0,1,6.59
Wolfsburg,Riechedly Bazoer,0,3,3,0,0,6.59
Fc Schalke 04,Breel Embolo,20,15,20,3,3,6.59
Hamburger Sv,Jann-Fiete Arp,15,13,10,2,2,6.59
Rb Leipzig,Konrad Laimer,0,3,9,1,0,6.59
Hertha Bsc,Genki Haraguchi,0,0,7,0,0,6.59
1 Fsv Mainz 05,Anthony Ujah,0,6,0,1,0,6.59
Wolfsburg,Paul-Georges Ntep,0,2,1,0,0,6.58
Hamburger Sv,Tatsuya Ito,0,6,23,1,0,6.58
Wolfsburg,Gian-Luca Itter,0,0,5,0,0,6.58
Borussia Mgladbach,Tobias Sippel,0,0,1,0,0,6.58
Vfb Stuttgart,Takuma Asano,7,15,8,1,1,6.57
Freiburg,Philipp Lienhart,0,2,2,0,0,6.57
Hertha Bsc,Valentin Stocker,0,3,0,0,0,6.57
Hamburger Sv,Rick Van Drongelen,0,3,5,0,0,6.57
Bayer 04 Leverkusen,André Ramalho,0,0,0,0,0,6.57
Borussia Mgladbach,Raúl Bobadilla,0,11,6,2,0,6.56
Werder Bremen,Johannes Eggestein,0,2,0,0,0,6.56
Hamburger Sv,Bobby Wood,8,26,15,5,2,6.55
Hamburger Sv,Christian Mathenia,0,0,0,0,0,6.55
Vfb Stuttgart,Matthias Zimmermann,0,1,0,0,0,6.55
1 Fsv Mainz 05,Viktor Fischer,0,4,4,1,0,6.55
Freiburg,Rafał Gikiewicz,0,0,0,0,0,6.55
Augsburg,Dong-Won Ji,0,0,0,0,0,6.55
Wolfsburg,Landry Dimata,0,9,4,3,0,6.55
1 Fc Koln,Lukas Klünter,7,14,29,3,1,6.54
Hertha Bsc,Ondrej Duda,20,5,10,0,1,6.54
Wolfsburg,Victor Osimhen,0,7,0,1,0,6.54
Borussia Mgladbach,Tony Jantschke,0,1,2,0,0,6.54
Augsburg,Marcel Heller,0,10,8,4,0,6.53
