Team,Name,Accurate passing percentage,Assists,Tackles,Successful Dribbles,Goals,Rating
1 Fc Koln,Simon Zoller,72,1,11,11,6,6.80
1 Fc Koln,Yuya Osako,76,0,28,21,1,6.80
Fc Schalke 04,Leroy Sané,78,6,59,91,8,6.79
Eintracht Frankfurt,Bastian Oczipka,78,0,57,40,0,6.79
Wolfsburg,Christian Träsch,80,1,70,21,0,6.79
Eintracht Frankfurt,Marco Russ,79,2,30,7,3,6.79
1 Fc Koln,Filip Mladenović,71,2,21,9,0,6.79
Darmstadt 98,Jérôme Gondorf,60,4,77,17,3,6.79
Borussia Mgladbach,Yann Sommer,69,0,0,0,0,6.79
Augsburg,Alfreð Finnbogason,69,1,16,9,7,6.79
Hannover 96,Miiko Albornoz,73,1,56,24,0,6.78
Hannover 96,Marcelo,79,0,25,1,1,6.78
1899 Hoffenheim,Eugen Polański,78,3,64,16,1,6.78
Borussia Dortmund,Christian Pulišić,78,0,11,13,2,6.78
1 Fc Koln,Matthias Lehmann,83,2,54,7,0,6.78
Hamburger Sv,Marcelo Díaz,86,0,9,4,0,6.77
Hannover 96,Andre Hoffmann,79,0,15,3,0,6.77
Augsburg,Dominik Kohr,78,3,63,12,0,6.77
Hamburger Sv,Michael Gregoritsch,63,2,17,6,5,6.77
Bayer 04 Leverkusen,Admir Mehmedi,76,5,20,35,2,6.77
Eintracht Frankfurt,Makoto Hasebe,76,2,53,8,1,6.77
1899 Hoffenheim,Mark Uth,73,1,28,16,8,6.77
Bayer 04 Leverkusen,Julian Brandt,76,3,14,29,9,6.77
Borussia Dortmund,Adnan Januzaj,81,2,1,9,0,6.77
1899 Hoffenheim,Pirmin Schwegler,81,0,45,4,0,6.77
Ingolstadt,Darío Lezcano,64,1,22,23,2,6.76
Wolfsburg,Daniel Caligiuri,78,5,52,54,2,6.76
Bayern Munchen,Franck Ribéry,81,3,1,31,2,6.76
Ingolstadt,Almog Cohen,65,2,25,5,0,6.76
Ingolstadt,Romain Brégerie,64,0,24,0,0,6.76
Eintracht Frankfurt,David Abraham,80,0,38,7,0,6.76
Darmstadt 98,Konstantin Rausch,59,5,31,5,2,6.76
Hannover 96,Iver Fossum,74,0,15,5,0,6.76
Augsburg,Philipp Max,73,0,54,5,0,6.75
Eintracht Frankfurt,Stefan Reinartz,84,1,19,8,1,6.75
Borussia Dortmund,Ju Ho Park,86,0,14,6,0,6.75
Ingolstadt,Konstantin Engel,57,0,2,1,0,6.75
Ingolstadt,Lukas Hinterseer,61,0,23,12,6,6.75
Darmstadt 98,Mario Vrančić,69,1,25,6,2,6.75
Bayer 04 Leverkusen,Marlon Frey,71,0,4,2,0,6.74
Borussia Dortmund,Roman Bürki,73,0,0,1,0,6.74
Hamburger Sv,Nicolai Müller,68,5,57,34,9,6.74
Bayer 04 Leverkusen,André Ramalho,81,0,27,2,0,6.74
Eintracht Frankfurt,Carlos Zambrano,85,0,25,12,0,6.74
Werder Bremen,Alejandro Gálvez,74,0,30,2,1,6.74
1 Fsv Mainz 05,Jhon Córdoba,76,2,10,27,5,6.74
Hamburger Sv,Gotoku Sakai,75,1,49,20,0,6.74
Borussia Mgladbach,Patrick Herrmann,71,1,12,9,3,6.74
Fc Schalke 04,Marco Höger,74,0,5,0,0,6.73
Vfb Stuttgart,Artem Kravets,71,2,4,2,1,6.73
Fc Schalke 04,Franco di Santo,63,1,14,13,2,6.73
Ingolstadt,Ramazan Özcan,45,0,2,1,0,6.73
Hamburger Sv,Gojko Kačar,77,0,37,2,1,6.73
1 Fc Koln,Miloš Jojić,74,0,10,5,2,6.73
Hertha Bsc,Peter Pekarík,77,1,27,7,0,6.73
Augsburg,Daniel Opare,69,0,5,4,0,6.73
Hannover 96,Manuel Schmiedebach,75,1,46,19,1,6.72
Hertha Bsc,Mitchell Weiser,72,4,65,49,2,6.72
Hannover 96,Noah Joel Sarenren Bazee,50,3,5,9,0,6.72
Augsburg,Piotr Trochowski,79,0,3,0,0,6.72
Darmstadt 98,Junior Diaz,59,0,25,0,0,6.72
Darmstadt 98,Tobias Kempe,59,3,17,20,0,6.72
Borussia Mgladbach,Álvaro Domínguez,80,0,5,1,0,6.72
1899 Hoffenheim,Jin-Su Kim,74,0,24,6,0,6.71
Vfb Stuttgart,Przemysław Tytoń,54,0,0,0,0,6.70
Hannover 96,Waldemar Anton,74,0,6,4,1,6.70
Fc Schalke 04,Sidney Sam,60,0,0,1,0,6.70
Augsburg,Sascha Mölders,29,0,1,0,0,6.70
Eintracht Frankfurt,David Kinsombi,60,0,3,0,0,6.70
Hertha Bsc,Maximilian Mittelstädt,72,1,3,0,0,6.70
Borussia Dortmund,Moritz Leitner,86,1,8,6,0,6.70
Vfb Stuttgart,Federico Barba,79,0,2,0,1,6.70
Hamburger Sv,Sven Schipplock,65,4,12,6,0,6.70
Darmstadt 98,Christian Mathenia,42,0,0,0,0,6.70
Vfb Stuttgart,Toni Šunjić,78,0,27,2,1,6.69
Darmstadt 98,Jan Rosenthal,63,1,15,14,0,6.69
Ingolstadt,Max Christiansen,70,1,27,4,0,6.69
Hamburger Sv,Gideon Jung,76,0,21,11,0,6.69
1 Fsv Mainz 05,Pablo De Blasis,67,4,49,30,4,6.69
Bayer 04 Leverkusen,Sebastian Boenisch,64,0,18,3,1,6.69
1899 Hoffenheim,Jonathan Schmid,73,0,13,7,4,6.69
Wolfsburg,Bruno Henrique,69,1,2,10,0,6.68
Hannover 96,Leon Andreasen,70,1,16,3,2,6.68
Augsburg,Halil Altintop,78,2,20,12,1,6.68
Hannover 96,Christian Schulz,80,0,21,2,2,6.68
1899 Hoffenheim,Steven Zuber,67,0,10,12,2,6.68
Fc Schalke 04,Sascha Riether,82,0,22,2,0,6.68
Vfb Stuttgart,Timo Werner,68,3,12,27,6,6.67
Eintracht Frankfurt,Stefan Aigner,72,3,49,15,3,6.67
Augsburg,Tim Matavz,59,0,8,4,0,6.67
Hertha Bsc,Jens Hegeler,84,0,10,5,0,6.67
Ingolstadt,Stefan Lex,60,0,14,2,2,6.67
Werder Bremen,Miloš Veljković,59,0,3,0,0,6.67
Ingolstadt,Tomáš Pekhart,71,0,1,0,0,6.67
Werder Bremen,Assani Lukimya,70,0,25,2,0,6.67
Eintracht Frankfurt,Joel Gerezgiher,62,0,1,3,0,6.67
Vfb Stuttgart,Daniel Schwaab,74,1,57,14,0,6.66
Darmstadt 98,Gyorgy Garics,64,0,31,5,0,6.66
Vfb Stuttgart,Emiliano Insúa,72,1,64,37,0,6.66
1899 Hoffenheim,Pavel Kadeřábek,68,1,33,17,0,6.66
Hamburger Sv,Dennis Diekmeier,79,0,33,15,0,6.66
Bayern Munchen,Sebastian Rode,87,1,9,3,1,6.65
Vfb Stuttgart,Martin Harnik,67,0,14,14,2,6.64
Borussia Mgladbach,Martin Hinteregger,77,0,23,1,0,6.64
Hannover 96,Hiroki Sakai,70,0,63,12,1,6.64
Hannover 96,Allan Saint-Maximin,67,0,4,19,1,6.64
Hannover 96,Mevlüt Erdinç,81,1,2,7,0,6.64
Hamburger Sv,Artjoms Rudnevs,60,1,4,1,2,6.64
Borussia Dortmund,Felix Passlack,86,0,4,0,0,6.63
Eintracht Frankfurt,Aleksandar Ignjovski,66,2,40,16,0,6.63
Darmstadt 98,Dominik Stroh-Engel,55,1,2,0,0,6.63
Wolfsburg,Diego Benaglio,77,0,0,0,0,6.63
Eintracht Frankfurt,Johannes Flum,70,1,2,1,0,6.63
1899 Hoffenheim,Jeremy Toljan,73,0,17,14,1,6.62
Hertha Bsc,Alexander Baumjohann,74,2,8,24,1,6.62
Ingolstadt,Alfredo Morales,58,2,35,20,1,6.62
Bayer 04 Leverkusen,Robbie Kruse,70,0,4,3,0,6.62
Hannover 96,Felix Klaus,68,0,19,10,1,6.62
Werder Bremen,Felix Kroos,72,0,9,3,0,6.61
Wolfsburg,Nicklas Bendtner,64,0,4,1,2,6.61
1 Fc Koln,Philipp Hosiner,71,0,9,4,1,6.61
Hannover 96,Ádám Szalai,70,2,5,23,0,6.61
Werder Bremen,Felix Wiedwald,57,0,1,1,0,6.60
Vfb Stuttgart,Philip Heise,70,1,3,1,0,6.60
Hertha Bsc,Julian Schieber,49,1,0,0,0,6.60
Darmstadt 98,Marco Sailer,60,1,6,1,1,6.60
Borussia Mgladbach,Roel Brouwers,93,0,2,2,0,6.60
Hamburger Sv,Zoltán Stieber,100,0,0,0,0,6.60
Wolfsburg,Carlos Ascues,71,0,0,1,0,6.60
Hamburger Sv,Nabil Bahoui,69,0,9,5,0,6.60
1899 Hoffenheim,Russell Canouse,78,0,0,0,0,6.60
1 Fc Koln,Kazuki Nagasawa,60,0,0,0,0,6.60
Vfb Stuttgart,Florian Klein,69,2,46,6,0,6.60
Darmstadt 98,Fabian Holland,57,0,47,4,0,6.59
Fc Schalke 04,Alessandro Schöpf,74,1,10,7,3,6.59
Hannover 96,Uffe Bech,69,1,16,5,1,6.59
Eintracht Frankfurt,Luca Waldschmidt,68,1,1,3,0,6.58
Borussia Mgladbach,Branimir Hrgota,78,0,0,4,0,6.58
Borussia Mgladbach,Julian Korb,76,1,25,7,1,6.58
1899 Hoffenheim,Phillipp Ochs,77,1,24,1,0,6.57
Augsburg,Markus Feulner,73,0,41,11,1,6.57
Augsburg,Dong-Won Ji,75,0,9,5,0,6.56
Werder Bremen,Janek Sternberg,67,0,7,4,0,6.56
Werder Bremen,László Kleinheisler,80,0,3,7,0,6.56
Eintracht Frankfurt,Slobodan Medojević,78,0,15,2,1,6.56
Werder Bremen,Levin Öztunali,65,3,19,49,1,6.56
Ingolstadt,Elias Kachunga,70,0,3,3,0,6.56
Bayer 04 Leverkusen,Tin Jedvaj,69,0,16,7,0,6.55
Hertha Bsc,Thomas Kraft,58,0,0,0,0,6.55
1 Fsv Mainz 05,Christoph Moritz,84,0,14,2,0,6.55
1899 Hoffenheim,Kevin Kurányi,58,0,8,9,0,6.55
Wolfsburg,Ismail Azzaoui,78,0,1,2,0,6.55
Eintracht Frankfurt,Constant Djakpa,67,0,11,4,0,6.55
1 Fsv Mainz 05,Pierre Bengtsson,69,0,17,4,0,6.55
1 Fc Koln,Paweł Olkowski,70,0,22,10,0,6.55
Augsburg,Christoph Janker,83,0,7,0,0,6.54
Vfb Stuttgart,Timo Baumgartl,78,0,34,1,0,6.54
Hamburger Sv,Ivica Olić,66,0,1,1,0,6.54
1 Fc Koln,Dušan Švento,66,0,0,3,1,6.54
Darmstadt 98,Felix Platte,52,0,3,3,0,6.53
Hamburger Sv,Josip Drmić,66,0,13,11,2,6.53
Borussia Mgladbach,Marvin Schulz,91,1,10,0,0,6.53
1 Fsv Mainz 05,Jairo Samperio,65,5,25,56,7,6.53
Bayer 04 Leverkusen,Roberto Hilbert,64,1,22,16,0,6.53
Hannover 96,Oliver Sorg,75,0,37,7,0,6.53
Hannover 96,Edgar Prib,72,2,32,28,0,6.53
Hannover 96,Charlison Benschop,72,0,1,1,1,6.53
Darmstadt 98,Marcel Heller,55,5,59,29,6,6.52
Eintracht Frankfurt,Yanni Regäsel,75,0,16,4,0,6.51
Hertha Bsc,Johannes van den Bergh,72,1,5,1,0,6.51
Augsburg,Albian Ajeti,67,0,1,0,0,6.50
Wolfsburg,Paul Seguin,75,0,2,0,0,6.50
1 Fsv Mainz 05,Maximilian Beister,0,0,0,1,0,6.50
Wolfsburg,Leandro Putaro,73,0,0,1,0,6.50
Hannover 96,Tim Dierßen,33,0,1,0,0,6.50
Ingolstadt,Maurice Multhaup,78,0,1,0,0,6.50
Eintracht Frankfurt,Mijat Gaćinović,65,0,8,3,0,6.50
1 Fsv Mainz 05,Suat Serdar,82,0,7,5,0,6.49
1 Fsv Mainz 05,Florian Niederlechner,46,0,3,1,0,6.49
Vfb Stuttgart,Borys Tashchy,65,0,2,0,0,6.49
Eintracht Frankfurt,Sonny Kittel,69,0,6,3,0,6.48
Vfb Stuttgart,Adam Hloušek,73,0,7,1,0,6.48
Ingolstadt,Ørjan Nyland,39,0,0,0,0,6.48
Vfb Stuttgart,Kevin Großkreutz,71,0,32,5,0,6.48
Eintracht Frankfurt,Anis Ben-Hatira,69,1,9,15,1,6.48
Augsburg,Jan Morávek,75,0,9,3,1,6.47
Werder Bremen,Lukas Fröde,55,0,4,0,0,6.47
Werder Bremen,Sambou Yatabare,62,1,7,16,1,6.46
