Team,Name,Accurate passing percentage,Assists,Tackles,Successful Dribbles,Goals,Rating
Genoa,Oscar Hiljemark,86,0,24,17,2,6.69
Lazio,Wallace,82,0,26,4,1,6.69
Crotone,Boadu Maxwell Acosty,83,0,6,14,0,6.69
Crotone,Djamel Mesbah,67,0,13,3,0,6.69
Inter,Yuto Nagatomo,77,0,27,10,0,6.69
Inter,Rodrigo Palacio,74,3,10,2,0,6.69
Empoli,José Mauri,86,0,35,8,0,6.69
Cagliari,Senna Miangue,77,0,7,4,0,6.69
Lazio,Dušan Basta,80,2,35,10,1,6.69
Crotone,Andrea Barberis,70,3,63,6,0,6.68
Sampdoria,Ante Budimir,66,0,7,4,0,6.68
Bologna,Sergio Floccari,79,0,6,1,0,6.68
Udinese,Davide Faraoni,81,0,15,2,0,6.68
Bologna,Marios Oikonomou,85,0,20,1,0,6.68
Bologna,Ádám Nagy,90,1,31,21,0,6.68
Juventus,Stephan Lichtsteiner,79,2,28,14,1,6.67
Sassuolo,Alessandro Matri,75,0,1,10,8,6.67
Torino,Joe Hart,69,0,1,1,0,6.67
Pescara,Cristiano Biraghi,76,4,79,23,1,6.67
Udinese,Emmanuel Badu,80,3,28,18,0,6.67
Genoa,Davide Biraschi,80,0,4,3,0,6.67
Crotone,Leonardo Capezzi,72,0,50,3,0,6.66
Napoli,Manolo Gabbiadini,70,0,2,1,3,6.66
Chievoverona,Boštjan Cesar,85,0,16,2,1,6.66
Bologna,Umar Sadiq,75,1,6,2,0,6.66
Genoa,Mauricio Pinilla,59,1,5,5,1,6.66
Torino,Joel Obi,88,3,21,10,0,6.66
Udinese,Ryder Matos,83,0,9,17,0,6.66
Crotone,Aleandro Rosi,67,1,55,22,1,6.65
Udinese,Pablo Armero,72,0,4,1,0,6.65
Atalanta,Abdoulay Konko,80,0,11,9,0,6.65
Udinese,Orestis Karnezis,48,0,0,0,0,6.65
Cagliari,Fabio Pisacane,77,1,63,14,1,6.65
Fiorentina,Maximiliano Olivera,78,2,21,10,0,6.64
Sassuolo,Federico Ricci,77,0,33,20,2,6.64
Genoa,Eugenio Lamanna,57,0,0,0,0,6.64
Pescara,Rey Manaj,69,0,4,3,2,6.64
Pescara,Ahmad Benali,84,2,41,24,6,6.64
Empoli,Federico Dimarco,75,1,11,8,0,6.64
Empoli,Andrés Tello,79,0,37,14,0,6.64
Cagliari,Daniele Dessena,72,0,26,7,2,6.63
Palermo,Accursio Bentivegna,73,0,2,2,0,6.63
Genoa,Riccardo Fiamozzi,92,0,1,3,0,6.63
Crotone,Marcus Rohdén,69,4,75,6,1,6.63
Torino,Maxi López,67,0,4,1,2,6.63
Torino,Antonio Barreca,80,2,41,29,0,6.63
Torino,Lucas Boyé,73,2,25,47,1,6.63
Crotone,Simy,67,0,6,5,3,6.63
Lazio,Jordan Lukaku,86,1,20,14,0,6.62
Empoli,Frédéric Veseli,84,2,18,3,0,6.62
Milan,Andrea Poli,93,0,10,6,0,6.62
Pescara,Alexandru Mitriță,80,2,5,11,1,6.61
Atalanta,Anthony Mounier,72,0,6,5,0,6.61
Palermo,Simone Lo Faso,83,0,1,7,0,6.61
Fiorentina,Sebastián Cristóforo,88,2,17,10,0,6.61
Sampdoria,Ricardo Álvarez,83,2,17,25,2,6.61
Palermo,Josip Posavec,56,0,1,0,0,6.61
Inter,Cristian Ansaldi,75,1,44,34,0,6.60
Cagliari,Simone Padoin,80,1,38,7,1,6.60
Pescara,Vincenzo Fiorillo,55,0,0,1,0,6.60
Crotone,Aniello Salzano,75,0,6,3,0,6.60
Fiorentina,Bartłomiej Drągowski,83,0,0,0,0,6.60
Empoli,Matheus Pereira,67,0,0,2,0,6.60
Inter,Trent Sainsbury,86,0,1,0,0,6.60
Udinese,Ewandro,75,0,5,3,0,6.60
Torino,Mattia Aramu,50,0,0,0,0,6.60
Pescara,Guglielmo Stendardo,81,0,12,3,0,6.60
Crotone,Pietro De Giorgio,67,0,1,0,0,6.60
Crotone,Nunzio Di Roberto,100,0,0,0,0,6.60
Cagliari,Federico Serra,0,0,1,0,0,6.60
Pescara,Michele Fornasier,85,1,20,0,0,6.60
Lazio,Alessandro Rossi,62,0,2,0,0,6.60
Empoli,Alberto Pelagotti,78,0,0,0,0,6.60
Crotone,Adrian Stoian,62,2,17,21,3,6.60
Pescara,Simone Pepe,76,0,2,3,0,6.59
Pescara,Francesco Zampano,81,5,70,35,0,6.59
Sassuolo,Pol Lirola,70,3,37,25,0,6.59
Udinese,Thomas Heurtaux,78,1,11,0,0,6.59
Torino,Afriyie Acquah,83,0,18,17,2,6.59
Empoli,Daniele Croce,86,1,65,73,1,6.59
Crotone,Mario Sampirisi,69,1,23,3,1,6.58
Pescara,Sulley Muntari,73,0,11,3,1,6.58
Sassuolo,Cristian Dell'Orco,73,0,17,11,0,6.58
Torino,Arlind Ajeti,79,0,4,2,1,6.58
Palermo,Norbert Balogh,68,0,13,14,0,6.57
Pescara,Albano Bizzarri,64,0,0,0,0,6.57
Pescara,Valerio Verre,78,2,34,18,0,6.57
Udinese,Simone Scuffet,42,0,0,0,0,6.57
Sampdoria,Daniel Pavlović,72,0,10,3,0,6.57
Lazio,Cristiano Lombardi,69,0,14,3,1,6.56
Sassuolo,Davide Biondini,82,0,21,4,0,6.56
Lazio,Filip Đorđević,69,0,11,1,0,6.56
Milan,Marco Storari,49,0,0,0,0,6.55
Chievoverona,Samuel Bastien,89,0,12,5,1,6.55
Udinese,Adalberto Peñaranda,88,0,5,6,0,6.55
Torino,Daniele Padelli,84,0,0,0,0,6.55
Sampdoria,Filip Đuričić,83,1,11,29,0,6.55
Palermo,Carlos Embalo,76,1,14,18,0,6.55
Genoa,Leonardo Morosini,72,0,0,3,0,6.55
Sassuolo,Marcello Gazzola,71,1,24,6,0,6.55
Atalanta,Cristian Raimondi,83,0,4,1,0,6.55
Lazio,Ricardo Kishna,71,0,0,2,0,6.54
