Team,Name,Blocked shots,Errors lead to goal,Clearances,Interceptions,Tackles,Rating
Freiburg,Philipp Lienhart,7,0,38,11,6,6.77
Hertha Bsc,Vladimír Darida,0,0,5,8,8,6.77
Fc Schalke 04,Omar Mascarell,7,0,7,23,20,6.77
1899 Hoffenheim,Leonardo Bittencourt,1,0,6,13,37,6.77
Werder Bremen,Martin Harnik,0,0,8,3,12,6.77
Freiburg,Dominique Heintz,22,0,213,45,41,6.77
Fortuna Dusseldorf,Dawid Kownacki,0,0,8,2,13,6.77
Werder Bremen,Kevin Möhwald,0,0,14,17,16,6.77
Fortuna Dusseldorf,Niko Giesselmann,6,0,65,36,57,6.77
Hertha Bsc,Javairô Dilrosun,2,0,7,7,14,6.76
Bayern Munchen,Franck Ribéry,0,0,0,7,15,6.76
Wolfsburg,Josip Brekalo,1,0,5,12,15,6.76
Vfb Stuttgart,Santiago Ascacibar,10,1,29,43,78,6.76
Borussia Mgladbach,Michael Lang,3,0,37,16,14,6.76
1 Fc Nurnberg,Sebastian Kerk,5,1,15,3,16,6.76
Fc Schalke 04,Amine Harit,1,0,2,9,15,6.76
Freiburg,Florian Niederlechner,4,0,10,6,7,6.76
Bayer 04 Leverkusen,Mitchell Weiser,3,0,39,27,63,6.76
Bayer 04 Leverkusen,Lukáš Hrádecký,0,0,18,1,0,6.76
Wolfsburg,Felix Uduokhai,2,0,8,6,13,6.76
1 Fc Nurnberg,Ondřej Petrák,4,0,21,40,36,6.75
Fc Schalke 04,Yevhen Konoplyanka,0,0,1,3,2,6.75
Eintracht Frankfurt,Danny da Costa,9,0,54,32,61,6.75
Fc Schalke 04,Benjamin Stambouli,9,0,60,32,51,6.75
Wolfsburg,Felix Klaus,0,0,0,4,10,6.75
1 Fsv Mainz 05,Danny Latza,10,0,27,20,41,6.75
Hannover 96,Iver Fossum,2,0,8,7,9,6.74
Fc Schalke 04,Mark Uth,2,0,11,8,20,6.74
Borussia Dortmund,Jacob Bruun Larsen,1,0,12,13,15,6.74
1 Fc Nurnberg,Lukas Mühl,18,0,134,48,58,6.74
Fortuna Dusseldorf,Takashi Usami,2,0,10,8,18,6.74
Rb Leipzig,Jean-Kévin Augustin,0,0,0,3,2,6.73
1899 Hoffenheim,David Otto,0,0,0,0,2,6.73
Freiburg,Nicolas Höfler,4,0,40,32,45,6.73
Eintracht Frankfurt,Mijat Gaćinović,1,0,8,24,31,6.73
Wolfsburg,Elvis Rexhbecaj,2,0,16,13,28,6.73
Borussia Mgladbach,Denis Zakaria,9,0,18,26,40,6.73
1 Fc Nurnberg,Mikael Ishak,3,0,10,3,9,6.73
Augsburg,Raphael Framberger,3,0,11,11,8,6.73
Fortuna Dusseldorf,Jean Zimmer,2,1,23,11,17,6.73
Bayern Munchen,Renato Sanches,0,0,1,4,5,6.73
1 Fc Nurnberg,Patrick Erras,13,0,45,23,15,6.73
Werder Bremen,Florian Kainz,1,0,4,3,6,6.73
Bayer 04 Leverkusen,Dominik Kohr,12,1,16,15,42,6.73
Fortuna Dusseldorf,Andre Hoffmann,12,0,42,21,22,6.72
Werder Bremen,Josh Sargent,0,0,3,0,2,6.72
1 Fc Nurnberg,Adam Zreľák,2,0,12,2,14,6.72
Borussia Dortmund,Christian Pulišić,2,0,9,6,10,6.72
Rb Leipzig,Bruma,0,0,2,4,5,6.72
Fc Schalke 04,Ahmed Kutucu,1,0,0,0,8,6.71
Fortuna Dusseldorf,Marcin Kamiński,11,1,103,39,18,6.71
Vfb Stuttgart,Emiliano Insúa,2,0,46,31,51,6.71
Fortuna Dusseldorf,Marcel Sobottka,5,0,15,24,30,6.71
Freiburg,Mike Frantz,4,0,29,21,34,6.71
Augsburg,Daniel Baier,7,0,48,61,61,6.71
Hannover 96,Walace,4,0,35,45,52,6.70
Rb Leipzig,Emile Smith Rowe,0,0,0,1,1,6.70
Eintracht Frankfurt,Simon Falette,5,0,32,14,9,6.70
Rb Leipzig,Matheus Cunha,1,0,8,4,10,6.70
Augsburg,Konstantinos Stafylidis,2,0,26,15,22,6.70
Hertha Bsc,Mathew Leckie,1,0,13,13,20,6.70
Wolfsburg,Paul Verhaegh,0,0,6,1,1,6.70
Hannover 96,Oliver Sorg,9,0,43,46,42,6.70
Freiburg,Christian Günter,7,0,39,14,38,6.70
Fortuna Dusseldorf,Adam Bodzek,6,0,39,26,44,6.70
Borussia Dortmund,Maximilian Philipp,0,0,5,3,7,6.69
